 #time_steps  real_time  l[20]  l_d[20]
0 0.000000 1.000000000000 1.000000000000
1 0.002500 0.999999999999 0.999999999999
2 0.005000 0.999999999986 0.999999999986
3 0.007500 0.999999999928 0.999999999928
4 0.010000 0.999999999753 0.999999999753
5 0.012500 0.999999999335 0.999999999335
6 0.015000 0.999999998481 0.999999998481
7 0.017500 0.999999996911 0.999999996911
8 0.020000 0.999999994253 0.999999994253
9 0.022500 0.999999990018 0.999999990018
10 0.025000 0.999999983595 0.999999983595
11 0.027500 0.999999974234 0.999999974234
12 0.030000 0.999999961036 0.999999961036
13 0.032500 0.999999942939 0.999999942939
14 0.035000 0.999999918707 0.999999918707
15 0.037500 0.999999886924 0.999999886924
16 0.040000 0.999999845978 0.999999845978
17 0.042500 0.999999794057 0.999999794057
18 0.045000 0.999999729140 0.999999729140
19 0.047500 0.999999648988 0.999999648988
20 0.050000 0.999999551142 0.999999551142
21 0.052500 0.999999432915 0.999999432915
22 0.055000 0.999999291390 0.999999291390
23 0.057500 0.999999123414 0.999999123414
24 0.060000 0.999998925600 0.999998925600
25 0.062500 0.999998694325 0.999998694325
26 0.065000 0.999998425728 0.999998425728
27 0.067500 0.999998115715 0.999998115715
28 0.070000 0.999997759959 0.999997759959
29 0.072500 0.999997353905 0.999997353905
30 0.075000 0.999996892776 0.999996892776
31 0.077500 0.999996371575 0.999996371575
32 0.080000 0.999995785097 0.999995785097
33 0.082500 0.999995127935 0.999995127935
34 0.085000 0.999994394489 0.999994394489
35 0.087500 0.999993578977 0.999993578977
36 0.090000 0.999992675448 0.999992675448
37 0.092500 0.999991677791 0.999991677791
38 0.095000 0.999990579754 0.999990579754
39 0.097500 0.999989374954 0.999989374954
40 0.100000 0.999988056894 0.999988056894
41 0.102500 0.999986618983 0.999986618983
42 0.105000 0.999985054547 0.999985054547
43 0.107500 0.999983356854 0.999983356854
44 0.110000 0.999981519128 0.999981519128
45 0.112500 0.999979534573 0.999979534573
46 0.115000 0.999977396389 0.999977396389
47 0.117500 0.999975097801 0.999975097801
48 0.120000 0.999972632069 0.999972632069
49 0.122500 0.999969992524 0.999969992524
50 0.125000 0.999967172580 0.999967172580
51 0.127500 0.999964165763 0.999964165763
52 0.130000 0.999960965732 0.999960965732
53 0.132500 0.999957566305 0.999957566305
54 0.135000 0.999953961482 0.999953961482
55 0.137500 0.999950145469 0.999950145469
56 0.140000 0.999946112702 0.999946112702
57 0.142500 0.999941857873 0.999941857873
58 0.145000 0.999937375952 0.999937375952
59 0.147500 0.999932662211 0.999932662211
60 0.150000 0.999927712252 0.999927712252
61 0.152500 0.999922522025 0.999922522025
62 0.155000 0.999917087852 0.999917087852
63 0.157500 0.999911406452 0.999911406452
64 0.160000 0.999905474964 0.999905474964
65 0.162500 0.999899290963 0.999899290963
66 0.165000 0.999892852486 0.999892852486
67 0.167500 0.999886158049 0.999886158049
68 0.170000 0.999879206668 0.999879206668
69 0.172500 0.999871997877 0.999871997877
70 0.175000 0.999864531743 0.999864531743
71 0.177500 0.999856808885 0.999856808885
72 0.180000 0.999848830489 0.999848830489
