# l[38]( l_38(t) ) connection: point20-point26
n t l_38(t)      l_differential_38(t)
0 0.000000 1.000000000000 1.000000000000
1 0.002500 1.000000000000 1.000000000000
2 0.005000 1.000000000000 1.000000000000
3 0.007500 1.000000000000 1.000000000000
4 0.010000 1.000000000000 1.000000000000
5 0.012500 1.000000000000 1.000000000000
6 0.015000 1.000000000000 1.000000000000
7 0.017500 1.000000000000 1.000000000000
8 0.020000 1.000000000000 1.000000000000
9 0.022500 1.000000000000 1.000000000000
10 0.025000 1.000000000000 1.000000000000
11 0.027500 1.000000000000 1.000000000000
12 0.030000 1.000000000000 1.000000000000
13 0.032500 1.000000000000 1.000000000000
14 0.035000 1.000000000000 1.000000000000
15 0.037500 1.000000000000 1.000000000000
16 0.040000 1.000000000000 1.000000000000
17 0.042500 1.000000000000 1.000000000000
18 0.045000 1.000000000000 1.000000000000
19 0.047500 1.000000000000 1.000000000000
20 0.050000 1.000000000000 1.000000000000
21 0.052500 1.000000000000 1.000000000000
22 0.055000 1.000000000000 1.000000000000
23 0.057500 1.000000000000 1.000000000000
24 0.060000 1.000000000000 1.000000000000
25 0.062500 1.000000000000 1.000000000000
26 0.065000 1.000000000000 1.000000000000
27 0.067500 1.000000000000 1.000000000000
28 0.070000 1.000000000000 1.000000000000
29 0.072500 1.000000000000 1.000000000000
30 0.075000 1.000000000000 1.000000000000
31 0.077500 1.000000000000 1.000000000000
32 0.080000 1.000000000000 1.000000000000
33 0.082500 1.000000000000 1.000000000000
34 0.085000 1.000000000000 1.000000000000
35 0.087500 1.000000000000 1.000000000000
36 0.090000 1.000000000000 1.000000000000
37 0.092500 1.000000000000 1.000000000000
38 0.095000 1.000000000000 1.000000000000
39 0.097500 1.000000000000 1.000000000000
40 0.100000 1.000000000000 1.000000000000
41 0.102500 1.000000000000 1.000000000000
42 0.105000 1.000000000000 1.000000000000
43 0.107500 1.000000000000 1.000000000000
44 0.110000 1.000000000000 1.000000000000
45 0.112500 1.000000000000 1.000000000000
46 0.115000 1.000000000000 1.000000000000
47 0.117500 1.000000000000 1.000000000000
48 0.120000 1.000000000000 1.000000000000
49 0.122500 1.000000000000 1.000000000000
50 0.125000 1.000000000000 1.000000000000
51 0.127500 1.000000000000 1.000000000000
52 0.130000 1.000000000000 1.000000000000
53 0.132500 1.000000000000 1.000000000000
54 0.135000 1.000000000000 1.000000000000
55 0.137500 1.000000000000 1.000000000000
56 0.140000 1.000000000000 1.000000000000
57 0.142500 1.000000000000 1.000000000000
58 0.145000 1.000000000000 1.000000000000
59 0.147500 1.000000000000 1.000000000000
60 0.150000 1.000000000000 1.000000000000
61 0.152500 1.000000000000 1.000000000000
62 0.155000 1.000000000001 1.000000000001
63 0.157500 1.000000000001 1.000000000001
64 0.160000 1.000000000001 1.000000000001
65 0.162500 1.000000000002 1.000000000002
66 0.165000 1.000000000002 1.000000000002
67 0.167500 1.000000000003 1.000000000003
68 0.170000 1.000000000003 1.000000000003
69 0.172500 1.000000000005 1.000000000005
70 0.175000 1.000000000006 1.000000000006
71 0.177500 1.000000000008 1.000000000008
72 0.180000 1.000000000010 1.000000000010
73 0.182500 1.000000000012 1.000000000012
74 0.185000 1.000000000015 1.000000000015
75 0.187500 1.000000000019 1.000000000019
76 0.190000 1.000000000024 1.000000000024
77 0.192500 1.000000000030 1.000000000030
78 0.195000 1.000000000037 1.000000000037
79 0.197500 1.000000000046 1.000000000046
80 0.200000 1.000000000056 1.000000000056
81 0.202500 1.000000000068 1.000000000068
82 0.205000 1.000000000082 1.000000000082
83 0.207500 1.000000000099 1.000000000099
84 0.210000 1.000000000119 1.000000000119
85 0.212500 1.000000000142 1.000000000142
86 0.215000 1.000000000169 1.000000000169
87 0.217500 1.000000000200 1.000000000200
88 0.220000 1.000000000235 1.000000000235
89 0.222500 1.000000000276 1.000000000276
90 0.225000 1.000000000322 1.000000000322
91 0.227500 1.000000000375 1.000000000375
92 0.230000 1.000000000435 1.000000000435
93 0.232500 1.000000000501 1.000000000501
94 0.235000 1.000000000576 1.000000000576
95 0.237500 1.000000000660 1.000000000660
96 0.240000 1.000000000752 1.000000000752
97 0.242500 1.000000000855 1.000000000855
98 0.245000 1.000000000967 1.000000000967
99 0.247500 1.000000001090 1.000000001090
100 0.250000 1.000000001225 1.000000001225
101 0.252500 1.000000001371 1.000000001371
102 0.255000 1.000000001529 1.000000001529
103 0.257500 1.000000001699 1.000000001699
104 0.260000 1.000000001881 1.000000001881
105 0.262500 1.000000002075 1.000000002075
106 0.265000 1.000000002282 1.000000002282
107 0.267500 1.000000002500 1.000000002500
108 0.270000 1.000000002731 1.000000002731
109 0.272500 1.000000002972 1.000000002972
110 0.275000 1.000000003224 1.000000003224
111 0.277500 1.000000003485 1.000000003485
