# l[34]( l_34(t) ) connection: point18-point24
n t l_34(t)      l_differential_34(t)
0 0.000000 1.000000000000 1.000000000000
1 0.002500 1.000000000000 1.000000000000
2 0.005000 1.000000000000 1.000000000000
3 0.007500 1.000000000000 1.000000000000
4 0.010000 1.000000000000 1.000000000000
5 0.012500 1.000000000000 1.000000000000
6 0.015000 1.000000000000 1.000000000000
7 0.017500 1.000000000000 1.000000000000
8 0.020000 1.000000000000 1.000000000000
9 0.022500 1.000000000000 1.000000000000
10 0.025000 1.000000000001 1.000000000001
11 0.027500 1.000000000002 1.000000000002
12 0.030000 1.000000000005 1.000000000005
13 0.032500 1.000000000012 1.000000000012
14 0.035000 1.000000000027 1.000000000027
15 0.037500 1.000000000055 1.000000000055
16 0.040000 1.000000000110 1.000000000110
17 0.042500 1.000000000208 1.000000000208
18 0.045000 1.000000000380 1.000000000380
19 0.047500 1.000000000671 1.000000000671
20 0.050000 1.000000001147 1.000000001147
21 0.052500 1.000000001906 1.000000001906
22 0.055000 1.000000003087 1.000000003087
23 0.057500 1.000000004884 1.000000004884
24 0.060000 1.000000007560 1.000000007560
25 0.062500 1.000000011469 1.000000011469
26 0.065000 1.000000017078 1.000000017078
27 0.067500 1.000000024993 1.000000024993
28 0.070000 1.000000035988 1.000000035988
29 0.072500 1.000000051039 1.000000051039
30 0.075000 1.000000071362 1.000000071362
31 0.077500 1.000000098448 1.000000098448
32 0.080000 1.000000134106 1.000000134106
33 0.082500 1.000000180505 1.000000180505
34 0.085000 1.000000240215 1.000000240215
35 0.087500 1.000000316247 1.000000316247
36 0.090000 1.000000412094 1.000000412094
37 0.092500 1.000000531757 1.000000531757
38 0.095000 1.000000679777 1.000000679777
39 0.097500 1.000000861252 1.000000861252
40 0.100000 1.000001081843 1.000001081843
41 0.102500 1.000001347771 1.000001347771
42 0.105000 1.000001665793 1.000001665793
43 0.107500 1.000002043174 1.000002043174
44 0.110000 1.000002487626 1.000002487626
45 0.112500 1.000003007238 1.000003007238
46 0.115000 1.000003610380 1.000003610380
47 0.117500 1.000004305593 1.000004305593
48 0.120000 1.000005101447 1.000005101447
49 0.122500 1.000006006388 1.000006006388
50 0.125000 1.000007028563 1.000007028563
51 0.127500 1.000008175622 1.000008175622
52 0.130000 1.000009454512 1.000009454512
53 0.132500 1.000010871253 1.000010871253
54 0.135000 1.000012430711 1.000012430711
55 0.137500 1.000014136359 1.000014136359
56 0.140000 1.000015990050 1.000015990050
57 0.142500 1.000017991782 1.000017991782
58 0.145000 1.000020139492 1.000020139492
59 0.147500 1.000022428851 1.000022428851
60 0.150000 1.000024853098 1.000024853098
61 0.152500 1.000027402898 1.000027402898
62 0.155000 1.000030066236 1.000030066236
63 0.157500 1.000032828359 1.000032828359
64 0.160000 1.000035671760 1.000035671760
65 0.162500 1.000038576217 1.000038576217
66 0.165000 1.000041518891 1.000041518891
67 0.167500 1.000044474478 1.000044474478
68 0.170000 1.000047415420 1.000047415420
69 0.172500 1.000050312182 1.000050312182
70 0.175000 1.000053133583 1.000053133583
71 0.177500 1.000055847182 1.000055847182
72 0.180000 1.000058419721 1.000058419721
73 0.182500 1.000060817606 1.000060817606
74 0.185000 1.000063007436 1.000063007436
75 0.187500 1.000064956553 1.000064956553
76 0.190000 1.000066633617 1.000066633617
77 0.192500 1.000068009193 1.000068009193
78 0.195000 1.000069056332 1.000069056332
79 0.197500 1.000069751138 1.000069751138
80 0.200000 1.000070073309 1.000070073309
81 0.202500 1.000070006641 1.000070006641
82 0.205000 1.000069539479 1.000069539479
83 0.207500 1.000068665098 1.000068665098
84 0.210000 1.000067382020 1.000067382020
85 0.212500 1.000065694241 1.000065694241
86 0.215000 1.000063611363 1.000063611363
87 0.217500 1.000061148628 1.000061148628
88 0.220000 1.000058326853 1.000058326853
89 0.222500 1.000055172251 1.000055172251
90 0.225000 1.000051716147 1.000051716147
91 0.227500 1.000047994591 1.000047994591
92 0.230000 1.000044047869 1.000044047869
93 0.232500 1.000039919921 1.000039919921
94 0.235000 1.000035657675 1.000035657675
95 0.237500 1.000031310306 1.000031310306
96 0.240000 1.000026928440 1.000026928440
97 0.242500 1.000022563307 1.000022563307
98 0.245000 1.000018265876 1.000018265876
99 0.247500 1.000014085973 1.000014085973
100 0.250000 1.000010071404 1.000010071404
101 0.252500 1.000006267121 1.000006267121
102 0.255000 1.000002714410 1.000002714410
103 0.257500 0.999999450166 0.999999450166
104 0.260000 0.999996506227 0.999996506227
105 0.262500 0.999993908819 0.999993908819
106 0.265000 0.999991678099 0.999991678099
107 0.267500 0.999989827822 0.999989827822
108 0.270000 0.999988365136 0.999988365136
109 0.272500 0.999987290503 0.999987290503
110 0.275000 0.999986597767 0.999986597767
111 0.277500 0.999986274349 0.999986274349
