x[34] y[34]
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
4.000000 5.000000
3.999999 5.000000
3.999999 5.000000
3.999999 5.000000
3.999998 5.000000
3.999998 5.000000
3.999997 5.000000
3.999997 5.000000
3.999996 5.000000
3.999994 5.000000
3.999993 5.000000
3.999991 5.000000
3.999989 5.000000
3.999987 5.000000
3.999985 5.000000
3.999982 5.000000
3.999979 5.000000
3.999975 5.000000
3.999971 5.000000
3.999967 5.000000
3.999962 5.000000
3.999957 5.000000
3.999951 5.000000
3.999945 5.000000
3.999938 5.000000
3.999932 5.000000
3.999924 5.000000
3.999917 5.000000
3.999909 5.000000
3.999901 5.000000
3.999893 5.000000
3.999885 5.000000
3.999876 5.000000
3.999868 5.000000
3.999859 5.000000
3.999851 5.000000
3.999843 5.000000
3.999835 5.000000
3.999827 5.000000
3.999820 5.000000
3.999812 5.000000
3.999806 5.000000
3.999800 5.000000
3.999794 5.000000
3.999788 5.000000
3.999784 5.000000
3.999779 5.000000
3.999776 5.000000
3.999772 5.000000
3.999770 5.000000
3.999767 5.000000
3.999766 5.000000
3.999764 5.000000
3.999763 5.000000
3.999762 5.000000
3.999762 5.000000
3.999761 5.000000
3.999761 5.000000
3.999761 5.000000
3.999761 5.000000
3.999760 5.000000
3.999760 5.000000
3.999759 5.000000
3.999759 5.000000
3.999758 5.000000
3.999756 5.000000
3.999754 5.000000
3.999752 5.000000
3.999750 5.000000
3.999747 5.000000
3.999743 5.000000
3.999739 5.000000
3.999735 5.000000
3.999731 5.000000
3.999726 5.000000
3.999721 5.000000
3.999715 5.000000
3.999710 5.000000
3.999704 5.000000
3.999699 5.000000
3.999693 5.000000
3.999687 5.000000
3.999681 5.000000
3.999676 5.000000
3.999671 5.000000
3.999666 5.000000
3.999661 5.000000
3.999657 5.000000
3.999653 5.000000
3.999650 5.000000
3.999647 5.000000
3.999644 5.000000
3.999642 5.000000
3.999641 5.000000
3.999640 5.000000
3.999640 5.000000
3.999639 5.000000
3.999640 5.000000
3.999641 5.000000
3.999642 5.000000
3.999644 5.000000
3.999646 5.000000
3.999648 5.000000
3.999650 5.000000
3.999653 5.000000
3.999656 5.000000
3.999659 5.000000
3.999663 5.000000
3.999666 5.000000
3.999670 5.000000
3.999674 5.000000
3.999677 5.000000
3.999681 5.000000
3.999685 5.000000
3.999689 5.000000
3.999694 5.000000
3.999698 5.000000
3.999702 5.000000
