6000 0.190945  0.166375  0.203625 0.190796 0.168945 0.201660
6001 0.190959  0.165176  0.203033 0.190887 0.168457 0.200928
6002 0.190969  0.164164  0.202368 0.191193 0.166016 0.200439
6003 0.190974  0.163372  0.201724 0.191254 0.164062 0.200195
6004 0.190978  0.162810  0.201197 0.191284 0.161621 0.198975
6005 0.190980  0.162459  0.200874 0.191406 0.159668 0.200439
6006 0.190981  0.162281  0.200824 0.191345 0.158203 0.200684
6007 0.190982  0.162223  0.201089 0.191406 0.157227 0.201660
6008 0.190982  0.162226  0.201680 0.191376 0.157227 0.202637
6009 0.190982  0.162233  0.202570 0.191284 0.155762 0.203857
6010 0.190979  0.162200  0.203701 0.191101 0.153809 0.206055
6011 0.190970  0.162104  0.204984 0.190918 0.156738 0.204834
6012 0.190949  0.161950  0.206309 0.190704 0.154785 0.207031
6013 0.190908  0.161775  0.207555 0.190460 0.158203 0.208984
6014 0.190834  0.161646  0.208603 0.190125 0.159180 0.209961
6015 0.190710  0.161662  0.209348 0.189911 0.159668 0.210693
6016 0.190520  0.161943  0.209710 0.189362 0.162109 0.209473
6017 0.190246  0.162623  0.209648 0.188965 0.165039 0.209961
6018 0.189872  0.163839  0.209161 0.188416 0.169434 0.209473
6019 0.189389  0.165715  0.208299 0.188324 0.171875 0.208008
6020 0.188796  0.168352  0.207155 0.187988 0.176758 0.206787
6021 0.188100  0.171812  0.205862 0.187683 0.178711 0.206787
6022 0.187321  0.176113  0.204586 0.187378 0.183105 0.204346
6023 0.186491  0.181221  0.203509 0.187042 0.188965 0.203613
6024 0.185649  0.187047  0.202815 0.186829 0.193359 0.202881
6025 0.184842  0.193447  0.202674 0.186646 0.199219 0.204102
6026 0.184119  0.200232  0.203225 0.186584 0.205078 0.203125
6027 0.183528  0.207172  0.204566 0.186371 0.208984 0.204590
6028 0.183106  0.214011  0.206736 0.186340 0.214844 0.207764
6029 0.182882  0.220481  0.209719 0.186310 0.217285 0.209229
6030 0.182870  0.226312  0.213433 0.186249 0.220703 0.211670
6031 0.183068  0.231256  0.217742 0.186401 0.224609 0.216309
6032 0.183461  0.235093  0.222460 0.186432 0.227539 0.221436
6033 0.184019  0.237650  0.227366 0.186768 0.229492 0.226074
6034 0.184704  0.238810  0.232218 0.187012 0.228027 0.231689
6035 0.185469  0.238520  0.236772 0.187378 0.229004 0.234131
6036 0.186271  0.236796  0.240797 0.187744 0.228516 0.238770
6037 0.187066  0.233725  0.244095 0.188019 0.226562 0.241455
6038 0.187818  0.229456  0.246508 0.188385 0.224121 0.244141
6039 0.188499  0.224195  0.247933 0.188690 0.220215 0.244629
6040 0.189091  0.218187  0.248326 0.188995 0.215820 0.245605
6041 0.189585  0.211706  0.247707 0.189423 0.212402 0.241943
6042 0.189982  0.205026  0.246151 0.189575 0.206055 0.242676
6043 0.190289  0.198413  0.243784 0.189911 0.201172 0.240723
6044 0.190516  0.192101  0.240775 0.190063 0.196289 0.237305
6045 0.190678  0.186282  0.237317 0.190338 0.190430 0.234375
6046 0.190790  0.181093  0.233618 0.190552 0.185059 0.229980
6047 0.190863  0.176619  0.229882 0.190765 0.179688 0.225586
6048 0.190910  0.172889  0.226293 0.190887 0.174805 0.222656
6049 0.190939  0.169885  0.223009 0.190826 0.169922 0.219727
6050 0.190956  0.167550  0.220144 0.190948 0.166016 0.216309
6051 0.190967  0.165802  0.217770 0.190918 0.164551 0.214844
6052 0.190973  0.164540  0.215908 0.190948 0.159668 0.212891
6053 0.190977  0.163663  0.214539 0.190948 0.158691 0.212402
6054 0.190980  0.163070  0.213602 0.190887 0.156250 0.211426
6055 0.190981  0.162677  0.213012 0.190857 0.156250 0.210205
6056 0.190982  0.162411  0.212664 0.190887 0.157227 0.210693
6057 0.190982  0.162221  0.212453 0.190735 0.157227 0.211914
6058 0.190983  0.162071  0.212278 0.190674 0.158203 0.211426
6059 0.190983  0.161943  0.212056 0.190582 0.158203 0.211426
6060 0.190983  0.161828  0.211731 0.190674 0.159668 0.210205
6061 0.190983  0.161728  0.211269 0.190521 0.159668 0.211670
6062 0.190983  0.161645  0.210668 0.190613 0.159180 0.209961
6063 0.190983  0.161585  0.209947 0.190582 0.162109 0.208740
6064 0.190983  0.161548  0.209145 0.190643 0.159668 0.208740
6065 0.190983  0.161532  0.208310 0.190735 0.158691 0.207275
6066 0.190983  0.161528  0.207494 0.190918 0.158691 0.205811
6067 0.190983  0.161527  0.206744 0.191010 0.159180 0.207275
6068 0.190983  0.161517  0.206097 0.191101 0.158691 0.205811
6069 0.190984  0.161489  0.205574 0.191345 0.158203 0.204102
6070 0.190985  0.161438  0.205177 0.191376 0.158203 0.204590
6071 0.190988  0.161370  0.204895 0.191467 0.156738 0.204590
6072 0.190996  0.161297  0.204700 0.191681 0.156250 0.202148
6073 0.191009  0.161244  0.204555 0.191864 0.157715 0.202393
6074 0.191031  0.161242  0.204420 0.191772 0.156250 0.202148
6075 0.191064  0.161332  0.204256 0.192078 0.155762 0.200439
6076 0.191111  0.161555  0.204034 0.192230 0.155762 0.199219
6077 0.191172  0.161952  0.203737 0.192261 0.155762 0.200684
6078 0.191248  0.162553  0.203364 0.192383 0.157227 0.199219
6079 0.191335  0.163380  0.202932 0.192444 0.159180 0.199707
6080 0.191429  0.164432  0.202475 0.192657 0.161133 0.200195
6081 0.191523  0.165691  0.202034 0.192688 0.159180 0.199463
6082 0.191610  0.167116  0.201663 0.192657 0.162109 0.198242
6083 0.191682  0.168646  0.201410 0.192657 0.165039 0.199951
6084 0.191732  0.170201  0.201318 0.192841 0.166504 0.201172
6085 0.191753  0.171688  0.201415 0.192841 0.167480 0.200195
6086 0.191744  0.173010  0.201711 0.192657 0.167969 0.198730
6087 0.191704  0.174070  0.202190 0.192719 0.170410 0.200684
6088 0.191637  0.174782  0.202814 0.192627 0.168945 0.200928
6089 0.191550  0.175080  0.203520 0.192596 0.170898 0.201172
6090 0.191451  0.174923  0.204231 0.192505 0.170898 0.201172
6091 0.191350  0.174299  0.204856 0.192291 0.171875 0.202637
6092 0.191255  0.173231  0.205303 0.192169 0.171875 0.201904
6093 0.191173  0.171777  0.205486 0.191986 0.171875 0.203613
6094 0.191108  0.170021  0.205336 0.191742 0.169922 0.201172
6095 0.191061  0.168075  0.204808 0.191620 0.169434 0.202881
6096 0.191030  0.166064  0.203889 0.191589 0.166504 0.200195
6097 0.191012  0.164118  0.202600 0.191284 0.165527 0.199707
6098 0.191000  0.162359  0.200998 0.191071 0.164551 0.197266
6099 0.190990  0.160894  0.199171 0.191101 0.162109 0.198242
6100 0.190979  0.159801  0.197235 0.190948 0.161133 0.196777
6101 0.190964  0.159124  0.195319 0.190826 0.159668 0.193359
6102 0.190946  0.158867  0.193559 0.190826 0.158203 0.191895
6103 0.190926  0.159000  0.192083 0.190826 0.155273 0.191406
6104 0.190909  0.159455  0.190998 0.190796 0.155762 0.191406
6105 0.190896  0.160137  0.190379 0.190918 0.154297 0.190674
6106 0.190892  0.160932  0.190263 0.191132 0.153809 0.190430
6107 0.190896  0.161721  0.190641 0.190948 0.154785 0.190918
6108 0.190908  0.162388  0.191461 0.191010 0.153809 0.192139
6109 0.190924  0.162834  0.192628 0.191193 0.152832 0.193848
6110 0.190942  0.162989  0.194012 0.191223 0.154785 0.196045
6111 0.190957  0.162816  0.195464 0.191254 0.152832 0.196777
6112 0.190967  0.162317  0.196821 0.191284 0.156738 0.196045
6113 0.190973  0.161538  0.197930 0.191559 0.156250 0.197998
6114 0.190979  0.160561  0.198654 0.191559 0.158203 0.198730
6115 0.190991  0.159503  0.198890 0.191681 0.158691 0.197510
6116 0.191020  0.158501  0.198578 0.191895 0.160645 0.197998
6117 0.191074  0.157705  0.197710 0.192108 0.161621 0.199463
6118 0.191165  0.157259  0.196326 0.192383 0.163086 0.196289
6119 0.191300  0.157292  0.194518 0.192444 0.165039 0.195557
6120 0.191481  0.157901  0.192421 0.192596 0.166504 0.193604
6121 0.191706  0.159143  0.190202 0.192688 0.166992 0.193359
6122 0.191964  0.161030  0.188045 0.192780 0.168945 0.189209
6123 0.192241  0.163521  0.186138 0.192841 0.168945 0.187988
6124 0.192516  0.166527  0.184653 0.192993 0.170898 0.185547
6125 0.192768  0.169919  0.183735 0.193115 0.170898 0.183105
6126 0.192976  0.173532  0.183484 0.193054 0.172363 0.182617
6127 0.193122  0.177178  0.183951 0.192993 0.174805 0.184082
6128 0.193193  0.180662  0.185130 0.192963 0.176270 0.185059
6129 0.193185  0.183793  0.186957 0.192902 0.177246 0.186768
6130 0.193098  0.186399  0.189319 0.192810 0.178711 0.189453
6131 0.192942  0.188337  0.192059 0.192719 0.181152 0.190186
6132 0.192733  0.189504  0.194994 0.192657 0.183105 0.192871
6133 0.192490  0.189844  0.197925 0.192535 0.183105 0.197754
6134 0.192231  0.189354  0.200656 0.192291 0.181641 0.198730
6135 0.191977  0.188079  0.203011 0.192169 0.182617 0.202881
6136 0.191742  0.186111  0.204843 0.192047 0.183105 0.205566
6137 0.191538  0.183581  0.206050 0.191986 0.182617 0.206055
6138 0.191371  0.180650  0.206579 0.191864 0.182129 0.205566
6139 0.191242  0.177494  0.206427 0.191711 0.180176 0.206787
6140 0.191149  0.174290  0.205645 0.191620 0.179688 0.205566
6141 0.191086  0.171204  0.204324 0.191498 0.177246 0.202393
6142 0.191045  0.168380  0.202595 0.191467 0.173340 0.200195
6143 0.191020  0.165928  0.200608 0.191254 0.173828 0.198975
6144 0.191005  0.163918  0.198526 0.191101 0.172363 0.196045
6145 0.190996  0.162384  0.196507 0.191101 0.169434 0.194580
6146 0.190988  0.161319  0.194694 0.191040 0.167969 0.195312
6147 0.190981  0.160683  0.193201 0.190979 0.166992 0.195312
6148 0.190974  0.160412  0.192109 0.190887 0.163574 0.194824
6149 0.190969  0.160425  0.191460 0.190765 0.162598 0.191650
6150 0.190965  0.160635  0.191253 0.190826 0.163574 0.193359
6151 0.190963  0.160956  0.191455 0.190796 0.164062 0.193848
6152 0.190963  0.161312  0.191998 0.190704 0.161621 0.195312
6153 0.190964  0.161642  0.192794 0.190613 0.163086 0.195312
6154 0.190967  0.161902  0.193742 0.190552 0.162109 0.196777
6155 0.190971  0.162069  0.194744 0.190491 0.162598 0.194824
6156 0.190974  0.162137  0.195706 0.190552 0.162109 0.197510
6157 0.190977  0.162115  0.196554 0.190460 0.162109 0.197510
6158 0.190979  0.162025  0.197238 0.190521 0.163086 0.199707
6159 0.190981  0.161894  0.197732 0.190399 0.165527 0.202148
6160 0.190982  0.161750  0.198036 0.190521 0.165527 0.201416
6161 0.190982  0.161619  0.198176 0.190521 0.165527 0.201660
6162 0.190982  0.161518  0.198190 0.190552 0.166992 0.201172
6163 0.190983  0.161458  0.198132 0.190674 0.166016 0.201172
6164 0.190983  0.161438  0.198054 0.190613 0.167480 0.200195
6165 0.190983  0.161452  0.198008 0.190735 0.166992 0.199951
6166 0.190983  0.161485  0.198033 0.190765 0.166016 0.199707
6167 0.190983  0.161521  0.198155 0.190857 0.166992 0.198975
6168 0.190983  0.161544  0.198380 0.190826 0.169434 0.200195
6169 0.190983  0.161544  0.198698 0.190735 0.168945 0.201904
6170 0.190982  0.161515  0.199085 0.190765 0.168457 0.202148
6171 0.190979  0.161464  0.199504 0.190796 0.167969 0.202637
6172 0.190975  0.161404  0.199913 0.190796 0.168945 0.203125
6173 0.190968  0.161356  0.200269 0.190826 0.167480 0.203613
6174 0.190956  0.161348  0.200537 0.190857 0.167480 0.203125
