# l[4]( l_4(t) ) connection: point2-point5
n t l_4(t)
137 0.342500 1.000000002751
138 0.345000 1.000000002311
139 0.347500 1.000000001858
140 0.350000 1.000000001397
141 0.352500 1.000000000932
142 0.355000 1.000000000467
143 0.357500 1.000000000006
144 0.360000 0.999999999555
145 0.362500 0.999999999116
146 0.365000 0.999999998695
147 0.367500 0.999999998295
148 0.370000 0.999999997920
149 0.372500 0.999999997574
150 0.375000 0.999999997260
151 0.377500 0.999999996983
152 0.380000 0.999999996745
153 0.382500 0.999999996550
154 0.385000 0.999999996401
155 0.387500 0.999999996302
156 0.390000 0.999999996256
157 0.392500 0.999999996266
158 0.395000 0.999999996336
159 0.397500 0.999999996468
160 0.400000 0.999999996662
161 0.402500 0.999999996918
162 0.405000 0.999999997231
163 0.407500 0.999999997597
164 0.410000 0.999999998009
165 0.412500 0.999999998461
166 0.415000 0.999999998944
167 0.417500 0.999999999449
168 0.420000 0.999999999968
169 0.422500 1.000000000493
170 0.425000 1.000000001014
171 0.427500 1.000000001524
172 0.430000 1.000000002014
173 0.432500 1.000000002474
174 0.435000 1.000000002894
175 0.437500 1.000000003267
176 0.440000 1.000000003583
177 0.442500 1.000000003834
178 0.445000 1.000000004011
179 0.447500 1.000000004109
180 0.450000 1.000000004123
181 0.452500 1.000000004048
182 0.455000 1.000000003885
183 0.457500 1.000000003632
184 0.460000 1.000000003293
185 0.462500 1.000000002872
186 0.465000 1.000000002375
187 0.467500 1.000000001809
188 0.470000 1.000000001181
189 0.472500 1.000000000502
190 0.475000 0.999999999781
191 0.477500 0.999999999029
192 0.480000 0.999999998257
193 0.482500 0.999999997477
194 0.485000 0.999999996702
195 0.487500 0.999999995945
196 0.490000 0.999999995219
197 0.492500 0.999999994536
198 0.495000 0.999999993909
199 0.497500 0.999999993350
200 0.500000 0.999999992869
201 0.502500 0.999999992476
202 0.505000 0.999999992180
203 0.507500 0.999999991988
204 0.510000 0.999999991902
205 0.512500 0.999999991927
206 0.515000 0.999999992061
207 0.517500 0.999999992304
208 0.520000 0.999999992655
209 0.522500 0.999999993109
210 0.525000 0.999999993661
211 0.527500 0.999999994305
212 0.530000 0.999999995034
213 0.532500 0.999999995838
214 0.535000 0.999999996712
215 0.537500 0.999999997644
216 0.540000 0.999999998624
217 0.542500 0.999999999641
218 0.545000 1.000000000681
219 0.547500 1.000000001734
220 0.550000 1.000000002786
221 0.552500 1.000000003823
222 0.555000 1.000000004831
223 0.557500 1.000000005797
224 0.560000 1.000000006709
225 0.562500 1.000000007559
226 0.565000 1.000000008340
227 0.567500 1.000000009045
228 0.570000 1.000000009668
229 0.572500 1.000000010209
230 0.575000 1.000000010667
231 0.577500 1.000000011047
232 0.580000 1.000000011355
233 0.582500 1.000000011598
234 0.585000 1.000000011782
235 0.587500 1.000000011914
236 0.590000 1.000000012002
237 0.592500 1.000000012059
238 0.595000 1.000000012098
239 0.597500 1.000000012134
240 0.600000 1.000000012183
241 0.602500 1.000000012259
242 0.605000 1.000000012379
243 0.607500 1.000000012559
244 0.610000 1.000000012815
245 0.612500 1.000000013165
246 0.615000 1.000000013624
247 0.617500 1.000000014206
248 0.620000 1.000000014918
249 0.622500 1.000000015761
250 0.625000 1.000000016732
251 0.627500 1.000000017825
