#n  real_time  lyapunov_exponential
0  0.000000 -inf
1  0.002500 -0.027824776352
2  0.005000 -0.040150418052
3  0.007500 -0.058276395699
4  0.010000 -0.080874273817
5  0.012500 -0.107605182990
6  0.015000 -0.138222103871
7  0.017500 -0.172323941572
8  0.020000 -0.209283804317
9  0.022500 -0.248066739592
10  0.025000 -0.287124545534
11  0.027500 -0.324449745793
12  0.030000 -0.357928701697
13  0.032500 -0.385895802403
14  0.035000 -0.407592324818
15  0.037500 -0.423180015557
16  0.040000 -0.433461530343
17  0.042500 -0.439505210834
18  0.045000 -0.442428853748
19  0.047500 -0.443254478827
20  0.050000 -0.442850708228
21  0.052500 -0.441949219734
22  0.055000 -0.441136932807
23  0.057500 -0.440871505894
24  0.060000 -0.441490755297
25  0.062500 -0.443208347086
26  0.065000 -0.446121287016
27  0.067500 -0.450187015022
28  0.070000 -0.455221694807
29  0.072500 -0.460901065787
30  0.075000 -0.466795919995
31  0.077500 -0.472429374602
32  0.080000 -0.477364325197
33  0.082500 -0.481281217227
34  0.085000 -0.484012829049
35  0.087500 -0.485544503102
36  0.090000 -0.485983163895
37  0.092500 -0.485518838630
38  0.095000 -0.484387601964
39  0.097500 -0.482850133793
40  0.100000 -0.481168227177
41  0.102500 -0.479596618791
42  0.105000 -0.478376434478
43  0.107500 -0.477729758655
44  0.110000 -0.477853804745
45  0.112500 -0.478914850017
46  0.115000 -0.481038383127
47  0.117500 -0.484296372062
48  0.120000 -0.488679881160
49  0.122500 -0.494075173386
50  0.125000 -0.500244930910
51  0.127500 -0.506826741607
52  0.130000 -0.513381255436
53  0.132500 -0.519478795305
54  0.135000 -0.524783920370
55  0.137500 -0.529109084557
56  0.140000 -0.532409305272
57  0.142500 -0.534750199059
58  0.145000 -0.536268333963
59  0.147500 -0.537142044995
60  0.150000 -0.537566055223
61  0.152500 -0.537740256169
62  0.155000 -0.537859497027
63  0.157500 -0.538111376405
64  0.160000 -0.538670600353
65  0.162500 -0.539699419365
66  0.165000 -0.541340395794
67  0.167500 -0.543708198176
68  0.170000 -0.546878718373
69  0.172500 -0.550871109525
70  0.175000 -0.555623265147
71  0.177500 -0.560968935443
72  0.180000 -0.566636087354
73  0.182500 -0.572276896466
74  0.185000 -0.577543350219
75  0.187500 -0.582158117229
76  0.190000 -0.585962024211
77  0.192500 -0.588910330349
78  0.195000 -0.591045140069
79  0.197500 -0.592462575155
80  0.200000 -0.593287763776
81  0.202500 -0.593660392930
82  0.205000 -0.593720415859
83  0.207500 -0.593603443279
84  0.210000 -0.593436905741
85  0.212500 -0.593338091848
86  0.215000 -0.593410119381
87  0.217500 -0.593740088694
88  0.220000 -0.594396005431
89  0.222500 -0.595420983991
90  0.225000 -0.596827434924
91  0.227500 -0.598591589300
92  0.230000 -0.600652176185
93  0.232500 -0.602913393433
94  0.235000 -0.605254800818
95  0.237500 -0.607551460124
96  0.240000 -0.609692813112
97  0.242500 -0.611599318711
98  0.245000 -0.613231958198
99  0.247500 -0.614590000806
100  0.250000 -0.615705795102
101  0.252500 -0.616637463230
102  0.255000 -0.617460799511
103  0.257500 -0.618264094162
104  0.260000 -0.619145495963
105  0.262500 -0.620207283145
106  0.265000 -0.621557116494
107  0.267500 -0.623304200885
108  0.270000 -0.625557524640
109  0.272500 -0.628425676148
110  0.275000 -0.632004465092
111  0.277500 -0.636365297780
112  0.280000 -0.641530162208
113  0.282500 -0.647427836107
114  0.285000 -0.653845530276
115  0.287500 -0.660419773846
116  0.290000 -0.666720338376
117  0.292500 -0.672391307735
118  0.295000 -0.677237551270
119  0.297500 -0.681212936700
120  0.300000 -0.684370148155
121  0.302500 -0.686809511779
122  0.305000 -0.688651065802
123  0.307500 -0.690018718427
124  0.310000 -0.691033400789
125  0.312500 -0.691810609990
126  0.315000 -0.692459189561
127  0.317500 -0.693082294785
128  0.320000 -0.693774797521
129  0.322500 -0.694627073964
130  0.325000 -0.695721644389
131  0.327500 -0.697132012318
132  0.330000 -0.698920105231
133  0.332500 -0.701129716455
134  0.335000 -0.703779145578
135  0.337500 -0.706849027619
136  0.340000 -0.710273535738
137  0.342500 -0.713938246730
138  0.345000 -0.717687907972
139  0.347500 -0.721356929713
140  0.350000 -0.724802660239
141  0.352500 -0.727928818380
142  0.355000 -0.730693070456
143  0.357500 -0.733095797153
144  0.360000 -0.735170279903
145  0.362500 -0.736970293195
146  0.365000 -0.738561356617
147  0.367500 -0.740013761297
148  0.370000 -0.741400336745
149  0.372500 -0.742791769387
150  0.375000 -0.744257367974
151  0.377500 -0.745862695718
152  0.380000 -0.747666230000
153  0.382500 -0.749717784589
154  0.385000 -0.752055170495
155  0.387500 -0.754699541887
156  0.390000 -0.757648157253
157  0.392500 -0.760870887612
158  0.395000 -0.764305077305
159  0.397500 -0.767861250004
160  0.400000 -0.771434524388
161  0.402500 -0.774924480921
162  0.405000 -0.778254146539
163  0.407500 -0.781376237665
164  0.410000 -0.784275685550
165  0.412500 -0.786966575016
166  0.415000 -0.789480895865
167  0.417500 -0.791865311625
168  0.420000 -0.794173024769
169  0.422500 -0.796461828151
170  0.425000 -0.798789330438
171  0.427500 -0.801212115931
172  0.430000 -0.803779418373
173  0.432500 -0.806530734792
174  0.435000 -0.809491046879
175  0.437500 -0.812662802263
176  0.440000 -0.816018894800
177  0.442500 -0.819497641710
178  0.445000 -0.823005690188
179  0.447500 -0.826433561689
180  0.450000 -0.829673732662
181  0.452500 -0.832645131427
182  0.455000 -0.835301623832
183  0.457500 -0.837631214433
