# l[16]( l_16(t) ) connection: point8-point14
n t l_16(t)      l_differential_16(t)
0 0.000000 1.000000000000 1.000000000000
1 0.002500 1.000000000000 1.000000000001
2 0.005000 1.000000000000 1.000000000002
3 0.007500 1.000000000000 1.000000000004
4 0.010000 1.000000000000 1.000000000006
5 0.012500 1.000000000000 1.000000000009
6 0.015000 1.000000000000 1.000000000012
7 0.017500 1.000000000000 1.000000000015
8 0.020000 1.000000000000 1.000000000018
9 0.022500 1.000000000000 1.000000000021
10 0.025000 1.000000000000 1.000000000024
11 0.027500 1.000000000000 1.000000000026
12 0.030000 1.000000000000 1.000000000029
13 0.032500 1.000000000000 1.000000000031
14 0.035000 1.000000000000 1.000000000033
15 0.037500 1.000000000000 1.000000000034
16 0.040000 1.000000000000 1.000000000034
17 0.042500 1.000000000000 1.000000000034
18 0.045000 1.000000000000 1.000000000034
19 0.047500 1.000000000000 1.000000000032
20 0.050000 1.000000000000 1.000000000030
21 0.052500 1.000000000000 1.000000000028
22 0.055000 1.000000000000 1.000000000024
23 0.057500 1.000000000000 1.000000000021
24 0.060000 1.000000000000 1.000000000016
25 0.062500 1.000000000000 1.000000000012
26 0.065000 1.000000000000 1.000000000007
27 0.067500 1.000000000000 1.000000000002
28 0.070000 1.000000000000 0.999999999996
29 0.072500 1.000000000000 0.999999999991
30 0.075000 1.000000000000 0.999999999986
31 0.077500 1.000000000000 0.999999999981
32 0.080000 1.000000000000 0.999999999976
33 0.082500 1.000000000000 0.999999999972
34 0.085000 1.000000000000 0.999999999968
35 0.087500 1.000000000000 0.999999999964
36 0.090000 1.000000000000 0.999999999962
37 0.092500 1.000000000001 0.999999999960
38 0.095000 1.000000000001 0.999999999959
39 0.097500 1.000000000002 0.999999999959
40 0.100000 1.000000000002 0.999999999960
41 0.102500 1.000000000003 0.999999999962
42 0.105000 1.000000000005 0.999999999965
43 0.107500 1.000000000007 0.999999999970
44 0.110000 1.000000000011 0.999999999976
45 0.112500 1.000000000015 0.999999999983
46 0.115000 1.000000000021 0.999999999993
47 0.117500 1.000000000030 1.000000000006
48 0.120000 1.000000000041 1.000000000021
49 0.122500 1.000000000055 1.000000000040
50 0.125000 1.000000000074 1.000000000063
51 0.127500 1.000000000098 1.000000000092
52 0.130000 1.000000000128 1.000000000127
53 0.132500 1.000000000166 1.000000000170
54 0.135000 1.000000000214 1.000000000221
55 0.137500 1.000000000273 1.000000000284
56 0.140000 1.000000000344 1.000000000358
57 0.142500 1.000000000431 1.000000000447
58 0.145000 1.000000000534 1.000000000553
59 0.147500 1.000000000656 1.000000000676
60 0.150000 1.000000000800 1.000000000821
61 0.152500 1.000000000966 1.000000000987
62 0.155000 1.000000001158 1.000000001178
63 0.157500 1.000000001376 1.000000001395
64 0.160000 1.000000001622 1.000000001640
65 0.162500 1.000000001896 1.000000001912
66 0.165000 1.000000002200 1.000000002214
67 0.167500 1.000000002532 1.000000002543
68 0.170000 1.000000002892 1.000000002900
69 0.172500 1.000000003278 1.000000003283
70 0.175000 1.000000003686 1.000000003688
71 0.177500 1.000000004113 1.000000004112
72 0.180000 1.000000004555 1.000000004550
73 0.182500 1.000000005005 1.000000004997
74 0.185000 1.000000005456 1.000000005446
75 0.187500 1.000000005902 1.000000005889
76 0.190000 1.000000006333 1.000000006319
77 0.192500 1.000000006741 1.000000006725
78 0.195000 1.000000007117 1.000000007100
79 0.197500 1.000000007450 1.000000007433
80 0.200000 1.000000007731 1.000000007714
81 0.202500 1.000000007950 1.000000007934
82 0.205000 1.000000008098 1.000000008084
83 0.207500 1.000000008167 1.000000008155
84 0.210000 1.000000008150 1.000000008140
85 0.212500 1.000000008040 1.000000008034
86 0.215000 1.000000007834 1.000000007830
87 0.217500 1.000000007528 1.000000007528
88 0.220000 1.000000007122 1.000000007126
89 0.222500 1.000000006616 1.000000006624
90 0.225000 1.000000006015 1.000000006027
91 0.227500 1.000000005324 1.000000005340
92 0.230000 1.000000004550 1.000000004570
93 0.232500 1.000000003705 1.000000003728
94 0.235000 1.000000002800 1.000000002827
95 0.237500 1.000000001849 1.000000001879
96 0.240000 1.000000000869 1.000000000900
97 0.242500 0.999999999876 0.999999999909
98 0.245000 0.999999998889 0.999999998922
99 0.247500 0.999999997927 0.999999997961
100 0.250000 0.999999997010 0.999999997043
101 0.252500 0.999999996158 0.999999996191
102 0.255000 0.999999995392 0.999999995422
103 0.257500 0.999999994730 0.999999994757
104 0.260000 0.999999994189 0.999999994214
105 0.262500 0.999999993788 0.999999993808
106 0.265000 0.999999993540 0.999999993556
107 0.267500 0.999999993459 0.999999993470
108 0.270000 0.999999993554 0.999999993560
109 0.272500 0.999999993832 0.999999993833
110 0.275000 0.999999994298 0.999999994293
111 0.277500 0.999999994953 0.999999994942
112 0.280000 0.999999995792 0.999999995776
113 0.282500 0.999999996811 0.999999996788
114 0.285000 0.999999997997 0.999999997970
115 0.287500 0.999999999339 0.999999999307
116 0.290000 1.000000000817 1.000000000781
117 0.292500 1.000000002412 1.000000002372
118 0.295000 1.000000004099 1.000000004055
119 0.297500 1.000000005850 1.000000005804
120 0.300000 1.000000007637 1.000000007590
121 0.302500 1.000000009428 1.000000009380
122 0.305000 1.000000011190 1.000000011142
123 0.307500 1.000000012889 1.000000012842
124 0.310000 1.000000014492 1.000000014446
125 0.312500 1.000000015965 1.000000015922
126 0.315000 1.000000017275 1.000000017235
127 0.317500 1.000000018393 1.000000018356
128 0.320000 1.000000019289 1.000000019257
129 0.322500 1.000000019939 1.000000019912
130 0.325000 1.000000020322 1.000000020300
131 0.327500 1.000000020421 1.000000020405
132 0.330000 1.000000020224 1.000000020213
133 0.332500 1.000000019723 1.000000019719
134 0.335000 1.000000018917 1.000000018919
135 0.337500 1.000000017810 1.000000017817
136 0.340000 1.000000016411 1.000000016424
137 0.342500 1.000000014735 1.000000014753
138 0.345000 1.000000012802 1.000000012825
139 0.347500 1.000000010638 1.000000010665
140 0.350000 1.000000008273 1.000000008303
141 0.352500 1.000000005740 1.000000005774
142 0.355000 1.000000003079 1.000000003115
143 0.357500 1.000000000329 1.000000000366
144 0.360000 0.999999997533 0.999999997571
145 0.362500 0.999999994735 0.999999994774
146 0.365000 0.999999991981 0.999999992019
147 0.367500 0.999999989315 0.999999989351
148 0.370000 0.999999986780 0.999999986814
149 0.372500 0.999999984418 0.999999984449
150 0.375000 0.999999982266 0.999999982295
151 0.377500 0.999999980361 0.999999980386
152 0.380000 0.999999978734 0.999999978755
153 0.382500 0.999999977411 0.999999977427
154 0.385000 0.999999976412 0.999999976424
155 0.387500 0.999999975754 0.999999975761
156 0.390000 0.999999975446 0.999999975449
157 0.392500 0.999999975491 0.999999975490
158 0.395000 0.999999975887 0.999999975882
159 0.397500 0.999999976626 0.999999976617
160 0.400000 0.999999977692 0.999999977679
161 0.402500 0.999999979066 0.999999979051
162 0.405000 0.999999980723 0.999999980705
163 0.407500 0.999999982632 0.999999982613
164 0.410000 0.999999984761 0.999999984740
165 0.412500 0.999999987072 0.999999987051
166 0.415000 0.999999989526 0.999999989504
167 0.417500 0.999999992080 0.999999992059
168 0.420000 0.999999994692 0.999999994673
169 0.422500 0.999999997320 0.999999997302
170 0.425000 0.999999999920 0.999999999905
171 0.427500 1.000000002452 1.000000002440
172 0.430000 1.000000004877 1.000000004868
173 0.432500 1.000000007158 1.000000007152
174 0.435000 1.000000009261 1.000000009259
175 0.437500 1.000000011159 1.000000011161
176 0.440000 1.000000012826 1.000000012832
177 0.442500 1.000000014242 1.000000014251
178 0.445000 1.000000015392 1.000000015405
179 0.447500 1.000000016266 1.000000016282
180 0.450000 1.000000016859 1.000000016878
181 0.452500 1.000000017172 1.000000017194
182 0.455000 1.000000017212 1.000000017236
183 0.457500 1.000000016987 1.000000017012
184 0.460000 1.000000016513 1.000000016540
185 0.462500 1.000000015810 1.000000015837
186 0.465000 1.000000014898 1.000000014926
187 0.467500 1.000000013805 1.000000013832
188 0.470000 1.000000012557 1.000000012583
189 0.472500 1.000000011184 1.000000011208
190 0.475000 1.000000009716 1.000000009737
191 0.477500 1.000000008182 1.000000008200
192 0.480000 1.000000006612 1.000000006627
193 0.482500 1.000000005035 1.000000005047
194 0.485000 1.000000003477 1.000000003485
195 0.487500 1.000000001962 1.000000001965
196 0.490000 1.000000000510 1.000000000510
197 0.492500 0.999999999140 0.999999999135
198 0.495000 0.999999997866 0.999999997856
199 0.497500 0.999999996697 0.999999996683
200 0.500000 0.999999995639 0.999999995622
201 0.502500 0.999999994697 0.999999994676
202 0.505000 0.999999993867 0.999999993844
203 0.507500 0.999999993147 0.999999993120
204 0.510000 0.999999992528 0.999999992499
205 0.512500 0.999999992001 0.999999991971
206 0.515000 0.999999991553 0.999999991522
207 0.517500 0.999999991172 0.999999991140
208 0.520000 0.999999990843 0.999999990811
209 0.522500 0.999999990551 0.999999990520
210 0.525000 0.999999990283 0.999999990253
211 0.527500 0.999999990024 0.999999989996
212 0.530000 0.999999989765 0.999999989738
213 0.532500 0.999999989493 0.999999989470
214 0.535000 0.999999989203 0.999999989182
215 0.537500 0.999999988889 0.999999988872
216 0.540000 0.999999988549 0.999999988535
217 0.542500 0.999999988184 0.999999988175
218 0.545000 0.999999987799 0.999999987794
219 0.547500 0.999999987401 0.999999987399
220 0.550000 0.999999986998 0.999999987001
221 0.552500 0.999999986605 0.999999986611
222 0.555000 0.999999986235 0.999999986245
223 0.557500 0.999999985906 0.999999985919
224 0.560000 0.999999985634 0.999999985650
225 0.562500 0.999999985439 0.999999985457
226 0.565000 0.999999985339 0.999999985359
227 0.567500 0.999999985352 0.999999985374
228 0.570000 0.999999985497 0.999999985520
229 0.572500 0.999999985788 0.999999985812
230 0.575000 0.999999986239 0.999999986263
231 0.577500 0.999999986862 0.999999986885
232 0.580000 0.999999987663 0.999999987686
233 0.582500 0.999999988647 0.999999988668
234 0.585000 0.999999989814 0.999999989834
235 0.587500 0.999999991160 0.999999991178
236 0.590000 0.999999992677 0.999999992692
237 0.592500 0.999999994352 0.999999994365
238 0.595000 0.999999996169 0.999999996179
239 0.597500 0.999999998108 0.999999998114
240 0.600000 1.000000000142 1.000000000146
241 0.602500 1.000000002246 1.000000002247
242 0.605000 1.000000004389 1.000000004387
243 0.607500 1.000000006539 1.000000006534
244 0.610000 1.000000008661 1.000000008654
245 0.612500 1.000000010721 1.000000010711
246 0.615000 1.000000012685 1.000000012673
247 0.617500 1.000000014518 1.000000014504
248 0.620000 1.000000016187 1.000000016172
249 0.622500 1.000000017662 1.000000017646
250 0.625000 1.000000018916 1.000000018899
251 0.627500 1.000000019923 1.000000019907
252 0.630000 1.000000020665 1.000000020649
253 0.632500 1.000000021124 1.000000021109
254 0.635000 1.000000021291 1.000000021276
255 0.637500 1.000000021158 1.000000021145
256 0.640000 1.000000020725 1.000000020714
257 0.642500 1.000000019996 1.000000019987
258 0.645000 1.000000018981 1.000000018974
259 0.647500 1.000000017694 1.000000017689
260 0.650000 1.000000016155 1.000000016153
261 0.652500 1.000000014386 1.000000014386
262 0.655000 1.000000012416 1.000000012418
263 0.657500 1.000000010274 1.000000010279
264 0.660000 1.000000007993 1.000000008001
265 0.662500 1.000000005609 1.000000005619
266 0.665000 1.000000003158 1.000000003169
267 0.667500 1.000000000677 1.000000000690
268 0.670000 0.999999998202 0.999999998216
269 0.672500 0.999999995769 0.999999995783
270 0.675000 0.999999993411 0.999999993426
271 0.677500 0.999999991162 0.999999991177
272 0.680000 0.999999989049 0.999999989064
273 0.682500 0.999999987099 0.999999987114
274 0.685000 0.999999985334 0.999999985348
275 0.687500 0.999999983772 0.999999983784
276 0.690000 0.999999982427 0.999999982437
277 0.692500 0.999999981308 0.999999981317
278 0.695000 0.999999980422 0.999999980428
279 0.697500 0.999999979768 0.999999979772
280 0.700000 0.999999979344 0.999999979346
281 0.702500 0.999999979144 0.999999979144
282 0.705000 0.999999979158 0.999999979155
283 0.707500 0.999999979371 0.999999979366
284 0.710000 0.999999979770 0.999999979762
285 0.712500 0.999999980335 0.999999980325
286 0.715000 0.999999981049 0.999999981037
287 0.717500 0.999999981889 0.999999981875
288 0.720000 0.999999982836 0.999999982821
289 0.722500 0.999999983869 0.999999983852
290 0.725000 0.999999984966 0.999999984948
291 0.727500 0.999999986108 0.999999986090
292 0.730000 0.999999987277 0.999999987258
293 0.732500 0.999999988455 0.999999988436
294 0.735000 0.999999989626 0.999999989608
295 0.737500 0.999999990777 0.999999990760
296 0.740000 0.999999991897 0.999999991880
297 0.742500 0.999999992975 0.999999992960
298 0.745000 0.999999994005 0.999999993992
299 0.747500 0.999999994981 0.999999994970
300 0.750000 0.999999995901 0.999999995891
301 0.752500 0.999999996762 0.999999996755
302 0.755000 0.999999997566 0.999999997561
303 0.757500 0.999999998314 0.999999998311
304 0.760000 0.999999999010 0.999999999010
305 0.762500 0.999999999658 0.999999999660
306 0.765000 1.000000000263 1.000000000268
307 0.767500 1.000000000831 1.000000000838
308 0.770000 1.000000001369 1.000000001377
309 0.772500 1.000000001880 1.000000001891
310 0.775000 1.000000002373 1.000000002384
311 0.777500 1.000000002850 1.000000002863
312 0.780000 1.000000003318 1.000000003332
313 0.782500 1.000000003779 1.000000003794
314 0.785000 1.000000004236 1.000000004251
315 0.787500 1.000000004690 1.000000004705
316 0.790000 1.000000005141 1.000000005156
317 0.792500 1.000000005588 1.000000005603
318 0.795000 1.000000006029 1.000000006044
319 0.797500 1.000000006461 1.000000006474
320 0.800000 1.000000006878 1.000000006891
321 0.802500 1.000000007276 1.000000007287
322 0.805000 1.000000007649 1.000000007659
323 0.807500 1.000000007991 1.000000008000
324 0.810000 1.000000008295 1.000000008302
325 0.812500 1.000000008555 1.000000008560
326 0.815000 1.000000008765 1.000000008769
327 0.817500 1.000000008919 1.000000008921
328 0.820000 1.000000009012 1.000000009013
329 0.822500 1.000000009042 1.000000009041
330 0.825000 1.000000009005 1.000000009003
331 0.827500 1.000000008900 1.000000008898
332 0.830000 1.000000008729 1.000000008725
333 0.832500 1.000000008493 1.000000008488
334 0.835000 1.000000008196 1.000000008191
335 0.837500 1.000000007844 1.000000007839
336 0.840000 1.000000007444 1.000000007439
337 0.842500 1.000000007005 1.000000007000
338 0.845000 1.000000006538 1.000000006533
339 0.847500 1.000000006054 1.000000006049
340 0.850000 1.000000005565 1.000000005560
341 0.852500 1.000000005086 1.000000005081
342 0.855000 1.000000004629 1.000000004625
343 0.857500 1.000000004209 1.000000004206
344 0.860000 1.000000003839 1.000000003837
345 0.862500 1.000000003532 1.000000003531
346 0.865000 1.000000003299 1.000000003299
347 0.867500 1.000000003152 1.000000003153
348 0.870000 1.000000003098 1.000000003100
349 0.872500 1.000000003144 1.000000003146
350 0.875000 1.000000003293 1.000000003296
351 0.877500 1.000000003547 1.000000003551
352 0.880000 1.000000003904 1.000000003908
353 0.882500 1.000000004360 1.000000004364
354 0.885000 1.000000004908 1.000000004912
355 0.887500 1.000000005537 1.000000005541
356 0.890000 1.000000006234 1.000000006238
357 0.892500 1.000000006986 1.000000006990
358 0.895000 1.000000007775 1.000000007778
359 0.897500 1.000000008583 1.000000008586
