# l[8]( l_8(t) ) connection: point4-point5
n t l_8(t)      l_differential_8(t)
0 0.000000 1.000000000000 1.000000000000
1 0.002500 1.000000000000 1.000000000000
2 0.005000 1.000000000000 1.000000000000
3 0.007500 1.000000000000 1.000000000000
4 0.010000 1.000000000000 1.000000000000
5 0.012500 1.000000000000 1.000000000000
6 0.015000 1.000000000000 1.000000000000
7 0.017500 1.000000000000 1.000000000000
8 0.020000 1.000000000000 1.000000000000
9 0.022500 1.000000000000 1.000000000000
10 0.025000 1.000000000000 1.000000000000
11 0.027500 1.000000000000 1.000000000000
12 0.030000 1.000000000000 1.000000000000
13 0.032500 1.000000000000 1.000000000000
14 0.035000 1.000000000000 1.000000000000
15 0.037500 1.000000000000 1.000000000000
16 0.040000 1.000000000000 1.000000000000
17 0.042500 1.000000000001 1.000000000001
18 0.045000 1.000000000002 1.000000000002
19 0.047500 1.000000000004 1.000000000004
20 0.050000 1.000000000008 1.000000000008
21 0.052500 1.000000000015 1.000000000015
22 0.055000 1.000000000027 1.000000000027
23 0.057500 1.000000000047 1.000000000047
24 0.060000 1.000000000080 1.000000000080
25 0.062500 1.000000000132 1.000000000132
26 0.065000 1.000000000215 1.000000000215
27 0.067500 1.000000000341 1.000000000341
28 0.070000 1.000000000533 1.000000000533
29 0.072500 1.000000000817 1.000000000817
30 0.075000 1.000000001232 1.000000001232
31 0.077500 1.000000001830 1.000000001830
32 0.080000 1.000000002678 1.000000002678
33 0.082500 1.000000003867 1.000000003867
34 0.085000 1.000000005512 1.000000005512
35 0.087500 1.000000007760 1.000000007760
36 0.090000 1.000000010800 1.000000010800
37 0.092500 1.000000014864 1.000000014864
38 0.095000 1.000000020244 1.000000020244
39 0.097500 1.000000027295 1.000000027295
40 0.100000 1.000000036449 1.000000036449
41 0.102500 1.000000048229 1.000000048229
42 0.105000 1.000000063256 1.000000063256
43 0.107500 1.000000082266 1.000000082266
44 0.110000 1.000000106124 1.000000106124
45 0.112500 1.000000135834 1.000000135834
46 0.115000 1.000000172559 1.000000172559
47 0.117500 1.000000217627 1.000000217627
48 0.120000 1.000000272547 1.000000272547
49 0.122500 1.000000339022 1.000000339022
50 0.125000 1.000000418952 1.000000418952
51 0.127500 1.000000514448 1.000000514448
52 0.130000 1.000000627830 1.000000627830
53 0.132500 1.000000761629 1.000000761629
54 0.135000 1.000000918586 1.000000918586
55 0.137500 1.000001101640 1.000001101640
56 0.140000 1.000001313916 1.000001313916
57 0.142500 1.000001558708 1.000001558708
58 0.145000 1.000001839449 1.000001839449
59 0.147500 1.000002159687 1.000002159687
60 0.150000 1.000002523039 1.000002523039
61 0.152500 1.000002933155 1.000002933155
62 0.155000 1.000003393661 1.000003393661
63 0.157500 1.000003908105 1.000003908105
64 0.160000 1.000004479892 1.000004479892
65 0.162500 1.000005112220 1.000005112220
66 0.165000 1.000005808000 1.000005808000
67 0.167500 1.000006569789 1.000006569789
68 0.170000 1.000007399699 1.000007399699
69 0.172500 1.000008299329 1.000008299329
70 0.175000 1.000009269674 1.000009269674
71 0.177500 1.000010311054 1.000010311054
72 0.180000 1.000011423032 1.000011423032
73 0.182500 1.000012604351 1.000012604351
74 0.185000 1.000013852865 1.000013852865
75 0.187500 1.000015165486 1.000015165486
76 0.190000 1.000016538141 1.000016538141
77 0.192500 1.000017965739 1.000017965739
78 0.195000 1.000019442155 1.000019442155
79 0.197500 1.000020960227 1.000020960227
80 0.200000 1.000022511770 1.000022511770
81 0.202500 1.000024087608 1.000024087608
82 0.205000 1.000025677627 1.000025677627
83 0.207500 1.000027270840 1.000027270840
84 0.210000 1.000028855481 1.000028855481
85 0.212500 1.000030419111 1.000030419111
86 0.215000 1.000031948739 1.000031948739
87 0.217500 1.000033430968 1.000033430968
88 0.220000 1.000034852154 1.000034852154
89 0.222500 1.000036198569 1.000036198569
90 0.225000 1.000037456592 1.000037456592
91 0.227500 1.000038612892 1.000038612892
92 0.230000 1.000039654625 1.000039654625
93 0.232500 1.000040569633 1.000040569633
94 0.235000 1.000041346636 1.000041346636
95 0.237500 1.000041975427 1.000041975427
96 0.240000 1.000042447050 1.000042447050
97 0.242500 1.000042753969 1.000042753969
98 0.245000 1.000042890224 1.000042890224
99 0.247500 1.000042851561 1.000042851561
100 0.250000 1.000042635544 1.000042635544
101 0.252500 1.000042241636 1.000042241636
102 0.255000 1.000041671259 1.000041671259
103 0.257500 1.000040927815 1.000040927815
104 0.260000 1.000040016682 1.000040016682
105 0.262500 1.000038945174 1.000038945174
106 0.265000 1.000037722464 1.000037722464
107 0.267500 1.000036359484 1.000036359484
108 0.270000 1.000034868781 1.000034868781
109 0.272500 1.000033264354 1.000033264354
110 0.275000 1.000031561453 1.000031561453
111 0.277500 1.000029776364 1.000029776364
