x[9] y[9]
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 1.000000
