 #sample_number  real_time  l[7]  l_d[7]
0 0.000000 1.000000000000 1.000000000000
0 0.002500 1.000000000000 1.000000000000
0 0.005000 1.000000000000 1.000000000000
0 0.007500 1.000000000000 1.000000000000
1 0.010000 1.000000000000 1.000000000000
1 0.012500 1.000000000000 1.000000000000
1 0.015000 1.000000000000 1.000000000000
1 0.017500 1.000000000000 1.000000000000
2 0.020000 1.000000000000 1.000000000000
2 0.022500 1.000000000000 1.000000000000
2 0.025000 1.000000000000 1.000000000000
2 0.027500 1.000000000000 1.000000000000
3 0.030000 1.000000000000 1.000000000000
3 0.032500 1.000000000000 1.000000000000
3 0.035000 1.000000000000 1.000000000000
3 0.037500 1.000000000000 1.000000000000
4 0.040000 1.000000000000 1.000000000000
4 0.042500 1.000000000000 1.000000000000
4 0.045000 1.000000000000 1.000000000000
4 0.047500 1.000000000000 1.000000000000
5 0.050000 1.000000000000 1.000000000000
5 0.052500 1.000000000000 1.000000000000
5 0.055000 1.000000000000 1.000000000000
5 0.057500 1.000000000000 1.000000000000
6 0.060000 1.000000000000 1.000000000000
6 0.062500 1.000000000000 1.000000000000
6 0.065000 1.000000000000 1.000000000000
6 0.067500 1.000000000000 1.000000000000
7 0.070000 1.000000000000 1.000000000000
7 0.072500 1.000000000000 1.000000000000
7 0.075000 1.000000000000 1.000000000000
7 0.077500 1.000000000000 1.000000000000
8 0.080000 1.000000000000 1.000000000000
8 0.082500 1.000000000000 1.000000000000
8 0.085000 1.000000000000 1.000000000000
8 0.087500 1.000000000000 1.000000000000
9 0.090000 1.000000000000 1.000000000000
9 0.092500 1.000000000000 1.000000000000
9 0.095000 1.000000000000 1.000000000000
9 0.097500 1.000000000000 1.000000000000
10 0.100000 1.000000000000 1.000000000000
10 0.102500 1.000000000000 1.000000000000
10 0.105000 1.000000000000 1.000000000000
10 0.107500 1.000000000000 1.000000000000
11 0.110000 1.000000000000 1.000000000000
11 0.112500 1.000000000000 1.000000000000
11 0.115000 1.000000000000 1.000000000000
11 0.117500 1.000000000000 1.000000000000
12 0.120000 1.000000000000 1.000000000000
12 0.122500 1.000000000000 1.000000000000
12 0.125000 1.000000000000 1.000000000000
12 0.127500 1.000000000000 1.000000000000
13 0.130000 1.000000000000 1.000000000000
13 0.132500 1.000000000000 1.000000000000
13 0.135000 1.000000000000 1.000000000000
13 0.137500 1.000000000000 1.000000000000
14 0.140000 0.999999999999 0.999999999999
14 0.142500 0.999999999999 0.999999999999
14 0.145000 0.999999999999 0.999999999999
14 0.147500 0.999999999999 0.999999999999
15 0.150000 0.999999999999 0.999999999999
15 0.152500 0.999999999998 0.999999999998
15 0.155000 0.999999999998 0.999999999998
15 0.157500 0.999999999997 0.999999999997
16 0.160000 0.999999999997 0.999999999997
16 0.162500 0.999999999996 0.999999999996
16 0.165000 0.999999999995 0.999999999995
16 0.167500 0.999999999994 0.999999999994
17 0.170000 0.999999999993 0.999999999993
17 0.172500 0.999999999992 0.999999999992
17 0.175000 0.999999999990 0.999999999990
17 0.177500 0.999999999988 0.999999999988
18 0.180000 0.999999999986 0.999999999986
18 0.182500 0.999999999983 0.999999999983
18 0.185000 0.999999999980 0.999999999980
18 0.187500 0.999999999977 0.999999999977
19 0.190000 0.999999999973 0.999999999973
19 0.192500 0.999999999968 0.999999999968
19 0.195000 0.999999999962 0.999999999962
19 0.197500 0.999999999956 0.999999999956
20 0.200000 0.999999999948 0.999999999948
20 0.202500 0.999999999940 0.999999999940
20 0.205000 0.999999999930 0.999999999930
20 0.207500 0.999999999919 0.999999999919
21 0.210000 0.999999999907 0.999999999907
21 0.212500 0.999999999893 0.999999999893
21 0.215000 0.999999999876 0.999999999876
21 0.217500 0.999999999858 0.999999999858
22 0.220000 0.999999999837 0.999999999837
22 0.222500 0.999999999814 0.999999999814
22 0.225000 0.999999999788 0.999999999788
22 0.227500 0.999999999759 0.999999999759
23 0.230000 0.999999999726 0.999999999726
23 0.232500 0.999999999689 0.999999999689
23 0.235000 0.999999999648 0.999999999648
23 0.237500 0.999999999602 0.999999999602
24 0.240000 0.999999999551 0.999999999551
24 0.242500 0.999999999494 0.999999999494
24 0.245000 0.999999999431 0.999999999431
24 0.247500 0.999999999362 0.999999999362
25 0.250000 0.999999999285 0.999999999285
25 0.252500 0.999999999200 0.999999999200
25 0.255000 0.999999999106 0.999999999106
25 0.257500 0.999999999003 0.999999999003
26 0.260000 0.999999998890 0.999999998890
26 0.262500 0.999999998766 0.999999998766
26 0.265000 0.999999998631 0.999999998631
26 0.267500 0.999999998482 0.999999998482
27 0.270000 0.999999998320 0.999999998320
27 0.272500 0.999999998143 0.999999998143
27 0.275000 0.999999997951 0.999999997951
27 0.277500 0.999999997742 0.999999997742
28 0.280000 0.999999997515 0.999999997515
28 0.282500 0.999999997269 0.999999997269
28 0.285000 0.999999997002 0.999999997002
28 0.287500 0.999999996714 0.999999996714
29 0.290000 0.999999996403 0.999999996403
29 0.292500 0.999999996067 0.999999996067
29 0.295000 0.999999995706 0.999999995706
29 0.297500 0.999999995317 0.999999995317
30 0.300000 0.999999994899 0.999999994899
30 0.302500 0.999999994450 0.999999994450
30 0.305000 0.999999993970 0.999999993970
30 0.307500 0.999999993455 0.999999993455
31 0.310000 0.999999992905 0.999999992905
31 0.312500 0.999999992317 0.999999992317
31 0.315000 0.999999991690 0.999999991690
31 0.317500 0.999999991022 0.999999991022
32 0.320000 0.999999990311 0.999999990311
32 0.322500 0.999999989556 0.999999989556
32 0.325000 0.999999988753 0.999999988753
32 0.327500 0.999999987902 0.999999987902
33 0.330000 0.999999987000 0.999999987000
33 0.332500 0.999999986045 0.999999986045
33 0.335000 0.999999985036 0.999999985036
33 0.337500 0.999999983970 0.999999983970
34 0.340000 0.999999982846 0.999999982846
34 0.342500 0.999999981661 0.999999981661
34 0.345000 0.999999980414 0.999999980414
34 0.347500 0.999999979102 0.999999979102
35 0.350000 0.999999977725 0.999999977725
35 0.352500 0.999999976279 0.999999976279
35 0.355000 0.999999974763 0.999999974763
35 0.357500 0.999999973175 0.999999973175
36 0.360000 0.999999971514 0.999999971514
36 0.362500 0.999999969778 0.999999969778
36 0.365000 0.999999967966 0.999999967966
36 0.367500 0.999999966076 0.999999966076
37 0.370000 0.999999964106 0.999999964106
37 0.372500 0.999999962055 0.999999962055
37 0.375000 0.999999959923 0.999999959923
37 0.377500 0.999999957708 0.999999957708
38 0.380000 0.999999955409 0.999999955409
38 0.382500 0.999999953025 0.999999953025
38 0.385000 0.999999950556 0.999999950556
38 0.387500 0.999999948001 0.999999948001
39 0.390000 0.999999945360 0.999999945360
39 0.392500 0.999999942632 0.999999942632
39 0.395000 0.999999939818 0.999999939818
39 0.397500 0.999999936917 0.999999936917
40 0.400000 0.999999933930 0.999999933930
40 0.402500 0.999999930858 0.999999930858
40 0.405000 0.999999927701 0.999999927701
40 0.407500 0.999999924460 0.999999924460
41 0.410000 0.999999921137 0.999999921137
41 0.412500 0.999999917732 0.999999917732
41 0.415000 0.999999914247 0.999999914247
41 0.417500 0.999999910684 0.999999910684
42 0.420000 0.999999907045 0.999999907045
42 0.422500 0.999999903333 0.999999903333
42 0.425000 0.999999899550 0.999999899550
42 0.427500 0.999999895698 0.999999895698
43 0.430000 0.999999891781 0.999999891781
43 0.432500 0.999999887803 0.999999887803
43 0.435000 0.999999883766 0.999999883766
43 0.437500 0.999999879675 0.999999879675
44 0.440000 0.999999875534 0.999999875534
44 0.442500 0.999999871348 0.999999871348
44 0.445000 0.999999867120 0.999999867120
44 0.447500 0.999999862856 0.999999862856
45 0.450000 0.999999858562 0.999999858562
45 0.452500 0.999999854242 0.999999854242
45 0.455000 0.999999849903 0.999999849903
45 0.457500 0.999999845551 0.999999845551
46 0.460000 0.999999841192 0.999999841192
46 0.462500 0.999999836833 0.999999836833
46 0.465000 0.999999832480 0.999999832480
46 0.467500 0.999999828142 0.999999828142
47 0.470000 0.999999823825 0.999999823825
47 0.472500 0.999999819538 0.999999819538
47 0.475000 0.999999815288 0.999999815288
47 0.477500 0.999999811083 0.999999811083
48 0.480000 0.999999806933 0.999999806933
48 0.482500 0.999999802845 0.999999802845
48 0.485000 0.999999798830 0.999999798830
48 0.487500 0.999999794896 0.999999794896
49 0.490000 0.999999791053 0.999999791053
49 0.492500 0.999999787311 0.999999787311
49 0.495000 0.999999783679 0.999999783679
49 0.497500 0.999999780167 0.999999780167
50 0.500000 0.999999776787 0.999999776787
50 0.502500 0.999999773549 0.999999773549
50 0.505000 0.999999770463 0.999999770463
50 0.507500 0.999999767541 0.999999767541
51 0.510000 0.999999764793 0.999999764793
51 0.512500 0.999999762231 0.999999762231
51 0.515000 0.999999759867 0.999999759867
51 0.517500 0.999999757711 0.999999757711
52 0.520000 0.999999755776 0.999999755776
52 0.522500 0.999999754072 0.999999754072
52 0.525000 0.999999752613 0.999999752613
52 0.527500 0.999999751411 0.999999751411
53 0.530000 0.999999750476 0.999999750476
53 0.532500 0.999999749822 0.999999749822
53 0.535000 0.999999749460 0.999999749460
53 0.537500 0.999999749402 0.999999749402
54 0.540000 0.999999749662 0.999999749662
54 0.542500 0.999999750251 0.999999750251
54 0.545000 0.999999751181 0.999999751181
54 0.547500 0.999999752465 0.999999752465
55 0.550000 0.999999754115 0.999999754115
55 0.552500 0.999999756142 0.999999756142
55 0.555000 0.999999758560 0.999999758560
55 0.557500 0.999999761379 0.999999761379
56 0.560000 0.999999764613 0.999999764613
56 0.562500 0.999999768272 0.999999768272
56 0.565000 0.999999772368 0.999999772368
56 0.567500 0.999999776914 0.999999776914
57 0.570000 0.999999781919 0.999999781919
57 0.572500 0.999999787396 0.999999787396
57 0.575000 0.999999793356 0.999999793356
57 0.577500 0.999999799809 0.999999799809
58 0.580000 0.999999806765 0.999999806765
58 0.582500 0.999999814236 0.999999814236
58 0.585000 0.999999822232 0.999999822232
58 0.587500 0.999999830761 0.999999830761
59 0.590000 0.999999839834 0.999999839834
59 0.592500 0.999999849461 0.999999849461
59 0.595000 0.999999859649 0.999999859649
59 0.597500 0.999999870407 0.999999870407
60 0.600000 0.999999881745 0.999999881745
60 0.602500 0.999999893669 0.999999893669
60 0.605000 0.999999906187 0.999999906187
60 0.607500 0.999999919306 0.999999919306
61 0.610000 0.999999933034 0.999999933034
61 0.612500 0.999999947375 0.999999947375
61 0.615000 0.999999962337 0.999999962337
61 0.617500 0.999999977924 0.999999977924
62 0.620000 0.999999994141 0.999999994141
62 0.622500 1.000000010992 1.000000010992
62 0.625000 1.000000028483 1.000000028483
62 0.627500 1.000000046614 1.000000046614
63 0.630000 1.000000065391 1.000000065391
63 0.632500 1.000000084814 1.000000084814
63 0.635000 1.000000104886 1.000000104886
63 0.637500 1.000000125607 1.000000125607
64 0.640000 1.000000146978 1.000000146978
64 0.642500 1.000000169000 1.000000169000
64 0.645000 1.000000191670 1.000000191670
64 0.647500 1.000000214988 1.000000214988
65 0.650000 1.000000238952 1.000000238952
65 0.652500 1.000000263559 1.000000263559
65 0.655000 1.000000288806 1.000000288806
65 0.657500 1.000000314688 1.000000314688
66 0.660000 1.000000341200 1.000000341200
66 0.662500 1.000000368338 1.000000368338
66 0.665000 1.000000396095 1.000000396095
66 0.667500 1.000000424463 1.000000424463
67 0.670000 1.000000453436 1.000000453436
67 0.672500 1.000000483004 1.000000483004
67 0.675000 1.000000513158 1.000000513158
67 0.677500 1.000000543888 1.000000543888
68 0.680000 1.000000575184 1.000000575184
68 0.682500 1.000000607032 1.000000607032
68 0.685000 1.000000639422 1.000000639422
68 0.687500 1.000000672340 1.000000672340
69 0.690000 1.000000705770 1.000000705770
69 0.692500 1.000000739699 1.000000739699
69 0.695000 1.000000774110 1.000000774110
69 0.697500 1.000000808987 1.000000808987
70 0.700000 1.000000844312 1.000000844312
70 0.702500 1.000000880066 1.000000880066
70 0.705000 1.000000916230 1.000000916230
70 0.707500 1.000000952784 1.000000952784
71 0.710000 1.000000989707 1.000000989707
71 0.712500 1.000001026976 1.000001026976
71 0.715000 1.000001064569 1.000001064569
71 0.717500 1.000001102462 1.000001102462
72 0.720000 1.000001140630 1.000001140630
72 0.722500 1.000001179048 1.000001179048
72 0.725000 1.000001217689 1.000001217689
72 0.727500 1.000001256525 1.000001256525
73 0.730000 1.000001295530 1.000001295530
73 0.732500 1.000001334672 1.000001334672
73 0.735000 1.000001373924 1.000001373924
73 0.737500 1.000001413253 1.000001413253
74 0.740000 1.000001452628 1.000001452628
74 0.742500 1.000001492017 1.000001492017
74 0.745000 1.000001531386 1.000001531386
74 0.747500 1.000001570701 1.000001570701
75 0.750000 1.000001609927 1.000001609927
75 0.752500 1.000001649029 1.000001649029
75 0.755000 1.000001687971 1.000001687971
75 0.757500 1.000001726714 1.000001726714
76 0.760000 1.000001765221 1.000001765221
76 0.762500 1.000001803454 1.000001803454
76 0.765000 1.000001841373 1.000001841373
76 0.767500 1.000001878938 1.000001878938
77 0.770000 1.000001916110 1.000001916110
77 0.772500 1.000001952846 1.000001952846
77 0.775000 1.000001989106 1.000001989106
77 0.777500 1.000002024847 1.000002024847
78 0.780000 1.000002060026 1.000002060026
78 0.782500 1.000002094602 1.000002094602
