# l[28]( l_28(t) ) connection: point15-point16
n t l_28(t)      l_differential_28(t)
0 0.000000 1.000000000000 1.000000000000
1 0.002500 1.000000000000 1.000000000000
2 0.005000 1.000000000000 1.000000000000
3 0.007500 1.000000000000 1.000000000000
4 0.010000 1.000000000000 1.000000000000
5 0.012500 1.000000000000 1.000000000000
6 0.015000 1.000000000000 1.000000000000
7 0.017500 1.000000000000 1.000000000000
8 0.020000 1.000000000000 1.000000000000
9 0.022500 1.000000000000 1.000000000000
10 0.025000 1.000000000000 1.000000000000
11 0.027500 1.000000000000 1.000000000000
12 0.030000 1.000000000000 1.000000000000
13 0.032500 1.000000000000 1.000000000000
14 0.035000 1.000000000000 1.000000000000
15 0.037500 1.000000000000 1.000000000000
16 0.040000 1.000000000000 1.000000000000
17 0.042500 1.000000000000 1.000000000000
18 0.045000 1.000000000000 1.000000000000
19 0.047500 1.000000000000 1.000000000000
20 0.050000 1.000000000000 1.000000000000
21 0.052500 1.000000000000 1.000000000000
22 0.055000 1.000000000000 1.000000000000
23 0.057500 1.000000000000 1.000000000000
24 0.060000 1.000000000000 1.000000000000
25 0.062500 1.000000000000 1.000000000000
26 0.065000 1.000000000000 1.000000000000
27 0.067500 1.000000000000 1.000000000000
28 0.070000 1.000000000000 1.000000000000
29 0.072500 1.000000000000 1.000000000000
30 0.075000 1.000000000000 1.000000000000
31 0.077500 1.000000000000 1.000000000000
32 0.080000 1.000000000000 1.000000000000
33 0.082500 1.000000000000 1.000000000000
34 0.085000 1.000000000000 1.000000000000
35 0.087500 1.000000000000 1.000000000000
36 0.090000 1.000000000000 1.000000000000
37 0.092500 1.000000000000 1.000000000000
38 0.095000 1.000000000000 1.000000000000
39 0.097500 1.000000000000 1.000000000000
40 0.100000 1.000000000000 1.000000000000
41 0.102500 1.000000000000 1.000000000000
42 0.105000 1.000000000000 1.000000000000
43 0.107500 1.000000000000 1.000000000000
44 0.110000 1.000000000000 1.000000000000
45 0.112500 1.000000000000 1.000000000000
46 0.115000 1.000000000000 1.000000000000
47 0.117500 1.000000000000 1.000000000000
48 0.120000 1.000000000000 1.000000000000
49 0.122500 1.000000000000 1.000000000000
50 0.125000 1.000000000000 1.000000000000
51 0.127500 1.000000000000 1.000000000000
52 0.130000 1.000000000001 1.000000000001
53 0.132500 1.000000000001 1.000000000001
54 0.135000 1.000000000001 1.000000000001
55 0.137500 1.000000000002 1.000000000002
56 0.140000 1.000000000003 1.000000000003
57 0.142500 1.000000000004 1.000000000004
58 0.145000 1.000000000005 1.000000000005
59 0.147500 1.000000000007 1.000000000007
60 0.150000 1.000000000009 1.000000000009
61 0.152500 1.000000000012 1.000000000012
62 0.155000 1.000000000017 1.000000000017
63 0.157500 1.000000000022 1.000000000022
64 0.160000 1.000000000029 1.000000000029
65 0.162500 1.000000000037 1.000000000037
66 0.165000 1.000000000048 1.000000000048
67 0.167500 1.000000000061 1.000000000061
68 0.170000 1.000000000077 1.000000000077
69 0.172500 1.000000000097 1.000000000097
70 0.175000 1.000000000121 1.000000000121
71 0.177500 1.000000000150 1.000000000150
72 0.180000 1.000000000184 1.000000000184
73 0.182500 1.000000000226 1.000000000226
74 0.185000 1.000000000274 1.000000000274
75 0.187500 1.000000000331 1.000000000331
76 0.190000 1.000000000397 1.000000000397
77 0.192500 1.000000000474 1.000000000474
78 0.195000 1.000000000561 1.000000000561
79 0.197500 1.000000000661 1.000000000661
80 0.200000 1.000000000774 1.000000000774
81 0.202500 1.000000000900 1.000000000900
82 0.205000 1.000000001041 1.000000001041
83 0.207500 1.000000001196 1.000000001196
84 0.210000 1.000000001367 1.000000001367
85 0.212500 1.000000001552 1.000000001552
86 0.215000 1.000000001753 1.000000001753
87 0.217500 1.000000001968 1.000000001968
88 0.220000 1.000000002196 1.000000002196
89 0.222500 1.000000002436 1.000000002436
90 0.225000 1.000000002687 1.000000002687
91 0.227500 1.000000002947 1.000000002947
92 0.230000 1.000000003212 1.000000003212
93 0.232500 1.000000003480 1.000000003480
94 0.235000 1.000000003747 1.000000003747
95 0.237500 1.000000004010 1.000000004010
96 0.240000 1.000000004265 1.000000004265
97 0.242500 1.000000004507 1.000000004507
98 0.245000 1.000000004732 1.000000004732
99 0.247500 1.000000004933 1.000000004933
100 0.250000 1.000000005108 1.000000005108
101 0.252500 1.000000005250 1.000000005250
102 0.255000 1.000000005354 1.000000005354
103 0.257500 1.000000005417 1.000000005417
104 0.260000 1.000000005433 1.000000005433
105 0.262500 1.000000005398 1.000000005398
106 0.265000 1.000000005309 1.000000005309
107 0.267500 1.000000005164 1.000000005164
108 0.270000 1.000000004960 1.000000004960
109 0.272500 1.000000004696 1.000000004696
110 0.275000 1.000000004373 1.000000004373
111 0.277500 1.000000003991 1.000000003991
