# le narma2 narma10 narma20 N M k_b k_t g_b g_t
-0.273803 0.000049 0.007336 0.003409 49 84 100.000000 3000.000000 0.000100 0.001000
-0.302017 0.000055 0.011808 0.005187 49 84 100.000000 3000.000000 0.000100 0.001000
-0.296093 0.000038 0.009001 0.002160 49 84 100.000000 3000.000000 0.000100 0.001000
-0.346525 0.000036 0.008956 0.003348 49 84 100.000000 3000.000000 0.000100 0.001000
-0.121686 1.000000 1.000000 1.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.192759 0.000140 0.038526 0.020286 49 84 100.000000 3000.000000 0.000100 0.001000
-0.225990 0.000054 0.011075 0.003767 49 84 100.000000 3000.000000 0.000100 0.001000
-0.309034 0.000076 0.010941 0.005747 49 84 100.000000 3000.000000 0.000100 0.001000
-0.346511 1.000000 49045439482785354836031497679825150413901150552064.000000 1.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.210218 0.000050 0.009762 0.004333 49 84 100.000000 3000.000000 0.000100 0.001000
-0.354632 1.000000 3979038771123849985818054911916991684449140063909176427514522919788066609452548096.000000 1142590117891691315562362797523783761975179726741571376667319027528377558137569280.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.204016 0.000045 0.013927 0.004431 49 84 100.000000 3000.000000 0.000100 0.001000
-0.258135 0.000047 0.016323 0.004049 49 84 100.000000 3000.000000 0.000100 0.001000
-0.217006 0.000072 0.007127 0.004080 49 84 100.000000 3000.000000 0.000100 0.001000
-0.316608 0.000060 0.005523 0.004631 49 84 100.000000 3000.000000 0.000100 0.001000
-0.243799 0.000039 0.013559 0.006133 49 84 100.000000 3000.000000 0.000100 0.001000
-0.171704 0.000038 0.009734 0.005141 49 84 100.000000 3000.000000 0.000100 0.001000
-0.197145 0.000045 0.009911 0.005156 49 84 100.000000 3000.000000 0.000100 0.001000
-0.301608 0.000034 0.011247 0.006077 49 84 100.000000 3000.000000 0.000100 0.001000
-0.366102 0.000052 0.006945 0.003830 49 84 100.000000 3000.000000 0.000100 0.001000
-0.280120 1.000000 1.000000 36084054728930126341773181135397657518077990458621952.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.170522 0.000059 0.009091 0.004059 49 84 100.000000 3000.000000 0.000100 0.001000
-0.290070 198271343678775744169961102037720058334706066512670805937526275863944527609856.000000 15543120199702539007101776999675748767379453374645220419978605155422135193174016.000000 2872038174114894981601983725845716910891083488369805479763736736069382913916928.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.342114 0.000038 0.009193 0.003824 49 84 100.000000 3000.000000 0.000100 0.001000
-0.191192 1.000000 784727031724565677376503962877202406622418408833024.000000 563813355139533224090205955240588398719968600915968.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.215486 0.000078 0.008011 0.005368 49 84 100.000000 3000.000000 0.000100 0.001000
-0.161246 0.000037 0.008364 0.003450 49 84 100.000000 3000.000000 0.000100 0.001000
-0.255251 0.000084 0.020296 0.005575 49 84 100.000000 3000.000000 0.000100 0.001000
-0.238279 0.000042 0.010163 0.005481 49 84 100.000000 3000.000000 0.000100 0.001000
-0.347039 0.000039 0.010623 0.004006 49 84 100.000000 3000.000000 0.000100 0.001000
-0.275156 0.000043 0.019176 0.010259 49 84 100.000000 3000.000000 0.000100 0.001000
-0.190295 16775771346232187577467639883242845839054631281360896.000000 52624334639647197122344013994021891447357486623346393088.000000 45623596277617379541046947953186591709915708034505506816.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.180710 0.000363 0.116251 0.021585 49 84 100.000000 3000.000000 0.000100 0.001000
-0.302639 0.000051 0.013660 0.004521 49 84 100.000000 3000.000000 0.000100 0.001000
-0.375718 640649263734068717427996803264704852503680753074176.000000 1.000000 1.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.148191 0.000046 0.008752 0.003337 49 84 100.000000 3000.000000 0.000100 0.001000
-0.199595 0.000080 0.011586 0.004279 49 84 100.000000 3000.000000 0.000100 0.001000
-0.254279 1.000000 457979251346964094475245473247866682729861989166743552.000000 655863778753033911053854891496802838080660927676416000.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.333583 0.000052 0.010142 0.002711 49 84 100.000000 3000.000000 0.000100 0.001000
-0.414678 0.000044 0.011112 0.004537 49 84 100.000000 3000.000000 0.000100 0.001000
-0.237672 0.000039 0.009712 0.003345 49 84 100.000000 3000.000000 0.000100 0.001000
-0.165965 0.000035 0.011940 0.004124 49 84 100.000000 3000.000000 0.000100 0.001000
-0.192334 0.000063 0.010468 0.005005 49 84 100.000000 3000.000000 0.000100 0.001000
-0.187630 0.000040 0.013014 0.006313 49 84 100.000000 3000.000000 0.000100 0.001000
-0.219431 203029855927066362030040168486625339734739012108974905280026906484679196272492544.000000 15916155084495399943272219647667966737796560255636705710058091679152266437810192384.000000 8755299641226683312851562263591693133676510623898640834929239446818046419824279552.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.338771 0.000041 0.010552 0.003964 49 84 100.000000 3000.000000 0.000100 0.001000
-0.311519 0.000053 0.008595 0.003989 25 40 100.000000 3000.000000 0.000100 0.001000
-0.360970 1.000000 50222530030372203352096253624140954023834778165313536.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.286440 8280197662618065385291776.000000 162277746697235062771941376.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.482825 0.000058 0.011285 0.005190 25 40 100.000000 3000.000000 0.000100 0.001000
-0.266258 0.000048 0.008779 0.004102 25 40 100.000000 3000.000000 0.000100 0.001000
-0.374644 1.000000 1.000000 9021013682232531585443295283849414379519497614655488.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.243776 0.000049 0.011489 0.004521 25 40 100.000000 3000.000000 0.000100 0.001000
-0.283366 1.000000 803560480485955253633540057986255264381356450645016576.000000 9021013682232531585443295283849414379519497614655488.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.225225 0.000058 0.010183 0.004107 25 40 100.000000 3000.000000 0.000100 0.001000
-0.403245 1.000000 1.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.299334 2502536186461205927453112512752753330092502941696.000000 200890120121488813408385014496563816095339112661254144.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.387583 1.000000 1.000000 563813355139533224090205955240588398719968600915968.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.259901 640649263734068717427996803264704852503680753074176.000000 1.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.304613 1.000000 1.000000 8809583674055206626409468050634193729999509389312.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.323487 1.000000 49045439482785354836031497679825150413901150552064.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.393875 0.000059 0.009878 0.004005 25 40 100.000000 3000.000000 0.000100 0.001000
-0.278495 0.000060 0.010522 0.004095 25 40 100.000000 3000.000000 0.000100 0.001000
-0.158959 0.000048 0.010880 0.003817 25 40 100.000000 3000.000000 0.000100 0.001000
-0.229045 812119423708265448120160673946501358938956048435899621120107625938716785089970176.000000 1.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.175405 1.000000 12555632507593050838024063406035238505958694541328384.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.411517 1.000000 1.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.289444 2562597054936274869711987213058819410014723012296704.000000 1.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.351721 1.000000 205711483004404544930186254844481347681627251365124243456.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.204725 0.000064 0.010210 0.003834 25 40 100.000000 3000.000000 0.000100 0.001000
-0.339592 0.000073 0.011828 0.004105 25 40 100.000000 3000.000000 0.000100 0.001000
-0.177083 0.000110 0.012919 0.003600 25 40 100.000000 3000.000000 0.000100 0.001000
-0.321275 0.000058 0.008184 0.002896 25 40 100.000000 3000.000000 0.000100 0.001000
-0.245672 0.000046 0.008317 0.003686 25 40 100.000000 3000.000000 0.000100 0.001000
-0.460788 0.000045 0.007569 0.004079 25 40 100.000000 3000.000000 0.000100 0.001000
-0.295763 0.000037 0.009878 0.002997 25 40 100.000000 3000.000000 0.000100 0.001000
-0.325072 0.000046 0.009002 0.004443 25 40 100.000000 3000.000000 0.000100 0.001000
-0.192601 40236585516980250869760.000000 201873516891315334400704512.000000 116593869117497588439842816.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.168417 625634046615301481863278128188188332523125735424.000000 3138908126898262709506015851508809626489673635332096.000000 2255253420558132896360823820962353594879874403663872.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.189144 0.000070 0.012239 0.004428 25 40 100.000000 3000.000000 0.000100 0.001000
-0.249894 0.000098 0.012858 0.003676 25 40 100.000000 3000.000000 0.000100 0.001000
-0.196010 0.000069 0.011374 0.003735 25 40 100.000000 3000.000000 0.000100 0.001000
-0.234306 1.000000 50222530030372203352096253624140954023834778165313536.000000 144336218915720505367092724541590630072311961834487808.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.368898 0.000041 0.010590 0.003358 25 40 100.000000 3000.000000 0.000100 0.001000
-0.265243 0.000050 0.010392 0.005536 25 40 100.000000 3000.000000 0.000100 0.001000
-0.426287 0.000472 0.076771 0.060006 25 40 100.000000 3000.000000 0.000100 0.001000
-0.340463 0.000043 0.007918 0.003568 25 40 100.000000 3000.000000 0.000100 0.001000
-0.422974 0.000086 0.026856 0.004645 25 40 100.000000 3000.000000 0.000100 0.001000
-0.303971 2502536186461205927453112512752753330092502941696.000000 1.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.304179 0.000073 0.008889 0.003586 25 40 100.000000 3000.000000 0.000100 0.001000
-0.241625 0.000053 0.009409 0.006140 25 40 100.000000 3000.000000 0.000100 0.001000
-0.368163 0.000048 0.011100 0.003644 25 40 100.000000 3000.000000 0.000100 0.001000
-0.285269 50757463981766590507510042121656334933684753027243726320006726621169799068123136.000000 994759692780962496454513727979247921112285015977294106878630729947016652363137024.000000 714718338059321159837227873169614699263652729395699228207146967468203435221843968.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.430910 0.000078 0.011770 0.005533 25 40 100.000000 3000.000000 0.000100 0.001000
-0.329450 1.000000 1.000000 36084054728930126341773181135397657518077990458621952.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.449935 2562597054936274869711987213058819410014723012296704.000000 1.000000 563813355139533224090205955240588398719968600915968.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.307658 0.000052 0.013459 0.005075 25 40 100.000000 3000.000000 0.000100 0.001000
-0.274170 0.000034 0.011712 0.003700 25 40 100.000000 3000.000000 0.000100 0.001000
-0.277869 1.000000 62172480798810156028407107998702995069517813498580881679914420621688540772696064.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.239908 2021532632563639123968.000000 1.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.323479 0.000039 0.008505 0.002687 25 40 100.000000 3000.000000 0.000100 0.001000
-0.212914 0.000038 0.013665 0.004439 25 40 100.000000 3000.000000 0.000100 0.001000
-0.378105 1.000000 196181757931141419344125990719300601655604602208256.000000 34412436226778150884411984572789819257810583552.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.213803 0.000108 0.012909 0.004685 25 40 100.000000 3000.000000 0.000100 0.001000
-0.281612 0.000059 0.011684 0.004597 25 40 100.000000 3000.000000 0.000100 0.001000
-0.216267 0.000077 0.008027 0.002970 25 40 100.000000 3000.000000 0.000100 0.001000
-0.229610 1.000000 50222530030372203352096253624140954023834778165313536.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.174685 1.000000 47700782964949863366656.000000 7287116819847478706700288.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.402272 0.000032 0.009605 0.003602 25 40 100.000000 3000.000000 0.000100 0.001000
-0.236338 1.000000 803560480485955253633540057986255264381356450645016576.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.367600 0.000124 0.014727 0.005744 25 40 100.000000 3000.000000 0.000100 0.001000
-0.221489 0.000068 0.006461 0.002589 25 40 100.000000 3000.000000 0.000100 0.001000
-0.368365 160162315933517179356999200816176213125920188268544.000000 784727031724565677376503962877202406622418408833024.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.318670 1.000000 3214241921943821014534160231945021057525425802580066304.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.404800 0.000031 0.012805 0.004502 25 40 100.000000 3000.000000 0.000100 0.001000
-0.300086 1.000000 1.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.375297 0.000045 0.010355 0.004014 25 40 100.000000 3000.000000 0.000100 0.001000
-0.234871 0.000049 0.010516 0.003617 25 40 100.000000 3000.000000 0.000100 0.001000
-0.301399 0.000053 0.012420 0.003863 25 40 100.000000 3000.000000 0.000100 0.001000
-0.288864 1.000000 1.000000 563813355139533224090205955240588398719968600915968.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.363684 0.000263 0.024210 0.005414 25 40 100.000000 3000.000000 0.000100 0.001000
-0.239156 0.000068 0.006716 0.003921 25 40 100.000000 3000.000000 0.000100 0.001000
-0.364176 1.000000 1.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.217851 156408511653825370465819532047047083130781433856.000000 766334991918521169312992151247267975217205477376.000000 35238334696220826505637872202536774919998037557248.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.289216 1.000000 1.000000 144336218915720505367092724541590630072311961834487808.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.229616 307925706843010042010486249657013977066841142037993200757327591905863211570692096.000000 144502025942364140932327766230751138184605798260634618797822014715102779347214270464.000000 320446111023910787570434110120810111695808521529786525487873578220702194282971267072.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.348567 1.000000 1.000000 2858873352237284639348911492678458797054610917582796912828587869872813740887375872.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.176321 0.000102 0.006356 0.004106 25 40 100.000000 3000.000000 0.000100 0.001000
-0.346180 141981810964955854942848698312549532284302941807968256.000000 4195228556521075092618697303335120943766595990686988763136.000000 981120251975729022079280025828534177884491667955718815744.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.236292 0.000052 0.008632 0.003724 25 40 100.000000 3000.000000 0.000100 0.001000
-0.206661 0.000036 0.012601 0.003900 25 40 100.000000 3000.000000 0.000100 0.001000
-0.272459 2502536186461205927453112512752753330092502941696.000000 196181757931141419344125990719300601655604602208256.000000 8809583674055206626409468050634193729999509389312.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.319873 1.000000 1.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.187146 0.000067 0.011217 0.003845 25 40 100.000000 3000.000000 0.000100 0.001000
-0.221547 0.000084 0.008643 0.003358 25 40 100.000000 3000.000000 0.000100 0.001000
-0.191436 0.000070 0.011901 0.003941 25 40 100.000000 3000.000000 0.000100 0.001000
-0.202120 0.000064 0.010708 0.004172 25 40 100.000000 3000.000000 0.000100 0.001000
-0.258527 1.000000 63664620337981599773088878590671866951186241022546822840232366716609065751240769536.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.357129 0.000089 0.010451 0.004354 25 40 100.000000 3000.000000 0.000100 0.001000
-0.249906 0.000032 0.011669 0.003257 25 40 100.000000 3000.000000 0.000100 0.001000
-0.307472 164006211515921591661567181635764442240942272786989056.000000 1.000000 2309379502651528085873483592665450081156991389351804928.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.175010 625634046615301481863278128188188332523125735424.000000 50222530030372203352096253624140954023834778165313536.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.256783 360365210850413648360951343301568851002824094384128.000000 1.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.275394 1.000000 1.000000 577344875662882021468370898166362520289247847337951232.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.323619 164006211515921591661567181635764442240942272786989056.000000 3214241921943821014534160231945021057525425802580066304.000000 1.000000 25 40 100.000000 3000.000000 0.000100 0.001000
-0.321754 0.000047 0.010123 0.004118 25 40 100.000000 3000.000000 0.000100 0.001000
-0.169738 0.000975 0.041886 0.057682 81 142 100.000000 2000.000000 0.000100 0.001000
-0.324871 0.000428 0.024725 0.020648 81 142 100.000000 2000.000000 0.000100 0.001000
-0.214984 0.000570 0.045973 0.013728 81 142 100.000000 2000.000000 0.000100 0.001000
-0.207550 0.000760 0.023331 0.019780 81 142 100.000000 2000.000000 0.000100 0.001000
-0.338318 0.000091 0.019837 0.009058 81 142 100.000000 2000.000000 0.000100 0.001000
-0.247002 0.000357 0.083111 0.027078 81 142 100.000000 2000.000000 0.000100 0.001000
-0.228888 1.000000 1.000000 23953955903696164079453448795335580652312319394285298234898599331732914176.000000 81 142 100.000000 2000.000000 0.000100 0.001000
-0.118217 0.000400 0.028323 0.009540 81 142 100.000000 2000.000000 0.000100 0.001000
-0.220586 0.000658 0.034129 0.006683 81 142 100.000000 2000.000000 0.000100 0.001000
-0.209206 0.000253 0.008463 0.004455 81 142 100.000000 2000.000000 0.000100 0.001000
-0.361369 0.000121 0.032554 0.008199 81 142 100.000000 2000.000000 0.000100 0.001000
-0.220275 0.000632 0.072551 0.048116 81 142 100.000000 2000.000000 0.000100 0.001000
-0.301217 0.000110 0.011740 0.006137 81 142 100.000000 2000.000000 0.000100 0.001000
-0.207324 0.000112 0.015362 0.007192 81 142 100.000000 2000.000000 0.000100 0.001000
-0.247339 449012327501143496721747503168780441083030045040443209765684217219760658171551463068900012827536666466133808983967594389678843801829533873602560.000000 563192033544124037453730168815873459455881797458817872861546763574255986876173840307181633438129312275314448262028371105176172670740040121151651840.000000 101161033457534420584033274481985327773975158102032819181054967654903332244656945585931720754047915289188018137150439429773679986923272575968608256.000000 81 142 100.000000 2000.000000 0.000100 0.001000
-0.217379 0.003749 0.187507 0.262517 81 142 100.000000 2000.000000 0.000100 0.001000
-0.165400 0.000299 0.009728 0.010151 81 142 100.000000 2000.000000 0.000100 0.001000
-0.232381 0.000134 0.045426 0.013725 81 142 100.000000 2000.000000 0.000100 0.001000
-0.191629 3511890254151685044238717422906609043366913283036100667468158859078726781103763609354240.000000 822117438703770361889438055114632109023500698856524236497698617520161448934469243198504960.000000 1809988672544427372137503257162119632374703604999216437408556847145390725090897343545344.000000 81 142 100.000000 2000.000000 0.000100 0.001000
-0.186041 0.000173 0.049706 0.030204 81 142 100.000000 2000.000000 0.000100 0.001000
-0.371339 0.000337 0.022104 0.019504 81 142 100.000000 2000.000000 0.000100 0.001000
-0.222392 0.000125 0.020204 0.010961 81 142 100.000000 2000.000000 0.000100 0.001000
-0.247086 0.000057 0.014514 0.007732 81 142 100.000000 2000.000000 0.000100 0.001000
-0.164692 0.000364 0.019169 0.005613 81 142 100.000000 2000.000000 0.000100 0.001000
-0.358187 0.000441 0.223980 0.033603 81 142 100.000000 2000.000000 0.000100 0.001000
-0.144348 0.000467 0.037285 0.013059 81 142 100.000000 2000.000000 0.000100 0.001000
-0.236919 0.000346 0.034528 0.017580 81 142 100.000000 2000.000000 0.000100 0.001000
-0.262889 0.000096 0.010981 0.006655 81 142 100.000000 2000.000000 0.000100 0.001000
-0.169871 1.000000 1.000000 126885738596276097104796315333937767200515655563143500139962065370930059513417178854958451255946496124265943691631343473113193145812461540766445931769564766404608.000000 81 142 100.000000 2000.000000 0.000100 0.001000
-0.229511 0.000202 0.011786 0.009229 81 142 100.000000 2000.000000 0.000100 0.001000
-0.170027 0.000566 0.057898 0.033705 81 142 100.000000 2000.000000 0.000100 0.001000
-0.222441 0.001274 0.025718 0.014229 81 142 100.000000 2000.000000 0.000100 0.001000
-0.401547 0.001578 0.091631 0.035592 81 142 100.000000 2000.000000 0.000100 0.001000
-0.182976 0.000151 0.021751 0.011753 81 142 100.000000 2000.000000 0.000100 0.001000
-0.263989 0.000308 0.015804 0.003488 81 142 100.000000 2000.000000 0.000100 0.001000
-0.226584 0.000164 0.019158 0.004212 81 142 100.000000 2000.000000 0.000100 0.001000
-0.177668 0.001900 0.057700 0.013429 81 142 100.000000 2000.000000 0.000100 0.001000
-0.333090 17453190883316265169370731659240358160168315848939577008244427416560861014558400528106281607138746841977306877001728.000000 7662510797628958639029322667872622546735004707605311221702980894615720415755433885819667010037350528886040432939630592.000000 16682414820981937895315766955736725225058011232507016613640992506134845370152246686971013268348188981586050431068405760.000000 81 142 100.000000 2000.000000 0.000100 0.001000
-0.201799 0.000098 0.017031 0.015113 81 142 100.000000 2000.000000 0.000100 0.001000
-0.355159 0.000054 0.010166 0.007880 81 142 100.000000 2000.000000 0.000100 0.001000
-0.231619 0.001419 0.074185 0.036577 81 142 100.000000 2000.000000 0.000100 0.001000
-0.389294 0.000141 0.046915 0.012026 81 142 100.000000 2000.000000 0.000100 0.001000
-0.188289 0.000689 0.017243 0.030781 81 142 100.000000 2000.000000 0.000100 0.001000
-0.255330 1.000000 1.000000 221401365944375766175735034209102367316549007164891831695218255686741429472402739026214913941509311484371313051714780066982595595490004384880686430913134854144.000000 81 142 100.000000 2000.000000 0.000100 0.001000
-0.174016 0.000147 0.008045 0.005231 81 142 100.000000 2000.000000 0.000100 0.001000
